asset_id,asset_type,department,corridor_id,location_km,installation_year,asset_age_years,condition_score_1_5,criticality_1_5,last_maintenance_date,next_due_date,failure_history_count,availability_pct,operational_dependency,active_status
AST000001,Weld,Engineering,C00068,66.6,2007,18,4,4,2025-01-07,2025-11-14,4,95.9,High,Active
AST000002,Crossing,Engineering,C00027,63.2,2022,3,5,2,2025-04-18,2026-01-06,0,100.1,Low,Active
AST000003,Bridge,Engineering,C00084,266.8,2017,8,4,3,2024-05-27,2025-06-08,1,96.5,Medium,Active
AST000004,Switch,Engineering,C00008,27.8,2004,21,2,3,2025-06-12,2026-04-23,9,93.8,Medium,Active
AST000005,Turnout,Engineering,C00063,115.4,2005,20,4,1,2025-06-01,2026-06-30,5,96.8,Low,Active
AST000006,Switch,Engineering,C00098,2.4,2014,11,4,3,2025-04-02,2025-10-29,3,96.8,Medium,Active
AST000007,Turnout,Engineering,C00084,174.3,1990,35,2,4,2024-06-21,2025-02-15,11,91.4,High,Active
AST000008,Turnout,Engineering,C00002,92.6,2021,4,4,3,2025-04-24,2026-01-26,2,97.7,Medium,Active
AST000009,Rail,Engineering,C00092,3.6,2000,25,3,2,2025-04-20,2026-04-01,6,94.5,Low,Active
AST000010,Bridge,Engineering,C00087,108.3,1999,26,3,2,2025-03-27,2026-02-20,8,94.8,Low,Active
AST000011,Switch,Engineering,C00023,36.6,2017,8,4,3,2025-04-14,2026-01-23,3,97.0,Medium,Active
AST000012,Crossing,Engineering,C00100,8.0,2014,11,5,3,2024-08-12,2025-04-10,0,97.5,Medium,Active
AST000013,Bridge,Engineering,C00001,354.9,2015,10,4,4,2025-01-12,2025-09-14,2,96.8,High,Active
AST000014,Track,Engineering,C00094,40.1,2000,25,3,3,2024-02-05,2024-10-20,5,93.6,Medium,Active
AST000015,Ballast,Engineering,C00014,9.3,2001,24,4,3,2024-10-11,2025-07-17,5,96.3,Medium,Active
AST000016,Sleeper,Engineering,C00008,94.8,2011,14,5,2,2025-03-29,2026-03-23,3,96.9,Low,Active
AST000017,Bridge,Engineering,C00058,10.2,2016,9,4,4,2025-06-10,2026-02-09,4,98.0,High,Active
AST000018,Switch,Engineering,C00039,7.9,2002,23,5,4,2025-05-30,2026-01-14,3,97.6,High,Active
AST000019,Rail,Engineering,C00100,0.7,1980,45,2,4,2024-07-15,2024-12-27,9,90.5,High,Active
AST000020,Rail,Engineering,C00076,80.5,2000,25,4,1,2025-06-02,2026-06-13,6,95.9,Low,Active
AST000021,Rail,Engineering,C00017,2.1,2005,20,3,3,2025-03-29,2026-01-13,6,95.4,Medium,Active
AST000022,Bridge,Engineering,C00013,71.1,2017,8,5,2,2025-06-09,2026-01-08,2,98.0,Low,Active
AST000023,Rail,Engineering,C00089,37.1,2003,22,4,2,2025-01-13,2025-11-30,3,96.4,Low,Active
AST000024,Crossing,Engineering,C00041,17.4,2002,23,4,3,2025-02-05,2026-01-12,3,96.2,Medium,Active
AST000025,Bridge,Engineering,C00018,0.3,2018,7,4,3,2025-04-09,2026-02-24,2,98.2,Medium,Active
AST000026,Rail,Engineering,C00072,34.9,2020,5,5,2,2025-04-09,2026-03-31,2,98.8,Low,Active
AST000027,Switch,Engineering,C00020,38.9,2013,12,3,2,2024-01-17,2024-12-24,4,96.4,Low,Active
AST000028,Track,Engineering,C00058,1.8,1997,28,3,3,2025-06-02,2026-02-28,7,93.0,Medium,Decommissioned
AST000029,Rail,Engineering,C00020,50.3,2021,4,4,4,2024-08-06,2025-01-23,2,97.7,High,Active
AST000030,Crossing,Engineering,C00047,47.3,2018,7,5,2,2024-08-09,2025-06-18,2,99.2,Low,Active
AST000031,Weld,Engineering,C00067,2.3,2000,25,4,5,2024-03-10,2024-08-24,6,94.6,High,Decommissioned
AST000032,Rail,Engineering,C00053,100.3,2024,1,5,1,2025-04-02,2026-04-17,1,100.4,Low,Active
AST000033,Weld,Engineering,C00057,109.7,2013,12,4,1,2025-03-17,2026-02-22,4,97.0,Low,Active
AST000034,Track,Engineering,C00082,23.0,2002,23,4,5,2024-12-19,2025-11-04,7,95.7,High,Active
AST000035,Track,Engineering,C00019,12.8,2017,8,4,4,2025-03-05,2025-11-12,1,97.0,High,Active
AST000036,Crossing,Engineering,C00017,3.1,1997,28,5,2,2025-04-17,2026-03-22,6,96.0,Low,Active
AST000037,Switch,Engineering,C00085,75.5,2015,10,5,4,2025-04-15,2025-11-25,4,98.4,High,Active
AST000038,Turnout,Engineering,C00065,38.6,2006,19,5,3,2025-02-14,2026-01-04,2,98.0,Medium,Active
AST000039,Switch,Engineering,C00079,52.8,2012,13,4,1,2024-02-07,2024-12-31,2,96.5,Low,Active
AST000040,Ballast,Engineering,C00098,2.0,2020,5,4,2,2025-02-26,2026-01-02,1,97.6,Low,Active
AST000041,Rail,Engineering,C00036,50.9,2013,12,4,4,2024-09-18,2025-07-18,2,97.5,High,Active
AST000042,Sleeper,Engineering,C00044,47.7,2006,19,4,2,2024-09-12,2025-08-02,5,96.7,Low,Active
AST000043,Bridge,Engineering,C00065,53.6,2021,4,5,4,2025-04-13,2025-11-30,0,98.6,High,Active
AST000044,Rail,Engineering,C00099,4.8,2010,15,3,1,2025-01-02,2025-12-06,4,96.3,Low,Active
AST000045,Ballast,Engineering,C00094,10.0,2012,13,4,4,2024-01-08,2024-09-30,1,96.1,High,Active
AST000046,Turnout,Engineering,C00087,3.4,2013,12,5,3,2025-01-19,2025-11-11,3,98.5,Medium,Active
AST000047,Turnout,Engineering,C00048,67.3,2024,1,4,2,2025-03-23,2026-02-04,3,97.6,Low,Active
AST000048,Turnout,Engineering,C00038,26.4,2013,12,5,2,2025-04-29,2026-05-23,1,98.7,Low,Active
AST000049,Track,Engineering,C00075,12.1,2017,8,4,2,2025-02-16,2025-12-29,1,98.2,Low,Active
AST000050,Track,Engineering,C00075,30.3,2003,22,5,2,2025-04-08,2025-12-18,2,96.8,Low,Active
AST000051,Turnout,Engineering,C00077,43.9,2020,5,4,4,2024-10-09,2025-06-17,3,98.7,High,Active
AST000052,Track,Engineering,C00052,158.0,2011,14,3,3,2024-11-29,2025-10-25,4,95.3,Medium,Decommissioned
AST000053,Ballast,Engineering,C00014,78.3,2004,21,3,4,2025-06-16,2026-01-26,6,93.8,High,Active
AST000054,Crossing,Engineering,C00087,161.2,2024,1,5,3,2024-10-25,2025-08-20,3,99.2,Medium,Active
AST000055,Crossing,Engineering,C00027,12.5,2010,15,4,2,2025-06-16,2026-05-21,6,97.4,Low,Active
AST000056,Switch,Engineering,C00076,87.6,1992,33,3,4,2025-06-13,2026-03-09,6,92.2,High,Active
AST000057,Track,Engineering,C00086,57.3,2007,18,4,2,2025-01-03,2025-12-26,4,96.1,Low,Active
AST000058,Crossing,Engineering,C00018,76.7,2010,15,4,4,2025-05-29,2026-02-17,6,97.2,High,Active
AST000059,Switch,Engineering,C00091,14.1,2022,3,4,3,2024-11-25,2025-09-19,1,98.6,Medium,Active
AST000060,Track,Engineering,C00028,115.0,2022,3,5,1,2024-06-18,2025-05-31,1,99.7,Low,Active
AST000061,Track,Engineering,C00041,21.4,2007,18,4,2,2024-05-12,2025-03-23,5,97.0,Low,Active
AST000062,Switch,Engineering,C00081,36.6,2010,15,3,5,2025-05-25,2026-03-22,3,96.2,High,Active
AST000063,Sleeper,Engineering,C00050,42.6,2011,14,5,2,2025-05-22,2026-04-04,2,98.8,Low,Active
AST000064,Track,Engineering,C00028,22.7,2015,10,4,2,2025-01-22,2025-11-10,2,97.9,Low,Decommissioned
AST000065,Ballast,Engineering,C00049,75.7,2021,4,4,5,2025-04-11,2025-11-10,3,97.8,High,Decommissioned
AST000066,Rail,Engineering,C00072,3.1,1994,31,3,4,2025-01-18,2025-10-27,6,93.3,High,Active
AST000067,Turnout,Engineering,C00074,9.6,2013,12,4,2,2025-05-17,2026-03-28,3,96.7,Low,Active
AST000068,Switch,Engineering,C00098,3.0,2024,1,5,3,2024-10-15,2025-08-17,1,99.2,Medium,Active
AST000069,Crossing,Engineering,C00099,10.2,1995,30,4,3,2024-12-18,2025-08-20,5,94.9,Medium,Active
