block_request_id,task_id,corridor_id,department,requested_duration_min,requested_date,priority,request_status
BR000001,TMS000001,C00069,Engineering,75,2025-06-03,Medium,Pending
BR000002,TMS000003,C00078,Engineering,91,2025-06-21,Medium,Pending
BR000003,TMS000004,C00002,Engineering,114,2025-06-08,Medium,Pending
BR000004,TMS000005,C00078,Engineering,78,2025-06-04,High,Pending
BR000005,TMS000006,C00041,Engineering,115,2025-06-14,Medium,Pending
BR000006,TMS000007,C00056,Engineering,252,2025-06-09,Low,Pending
BR000007,TMS000008,C00094,Engineering,146,2025-06-10,Medium,Pending
BR000008,TMS000009,C00068,Engineering,229,2025-06-05,High,Pending
BR000009,TMS000010,C00084,Engineering,119,2025-06-13,High,Pending
BR000010,TMS000011,C00033,Engineering,182,2025-06-24,Low,Pending
BR000011,TMS000012,C00054,Engineering,115,2025-06-29,Low,Pending
BR000012,TMS000013,C00014,Engineering,128,2025-06-29,Medium,Pending
BR000013,TMS000014,C00005,Engineering,220,2025-06-16,Medium,Pending
BR000014,TMS000015,C00002,Engineering,150,2025-06-20,Low,Pending
BR000015,TMS000016,C00092,Engineering,211,2025-06-02,Medium,Pending
BR000016,TMS000017,C00081,Engineering,110,2025-06-22,Low,Pending
BR000017,TMS000018,C00078,Engineering,280,2025-06-22,High,Pending
BR000018,TMS000020,C00036,Engineering,308,2025-06-25,Critical,Pending
BR000019,TMS000021,C00003,Engineering,43,2025-06-28,Critical,Pending
BR000020,TMS000022,C00094,Engineering,162,2025-06-01,Medium,Pending
BR000021,TMS000023,C00037,Engineering,132,2025-06-11,Low,Pending
BR000022,TMS000025,C00068,Engineering,148,2025-06-16,Medium,Pending
BR000023,TMS000026,C00042,Engineering,287,2025-06-22,Critical,Pending
BR000024,TMS000027,C00093,Engineering,36,2025-06-25,Low,Pending
BR000025,TMS000028,C00076,Engineering,110,2025-06-02,Medium,Pending
BR000026,TMS000029,C00052,Engineering,212,2025-06-28,Low,Pending
BR000027,TMS000030,C00063,Engineering,244,2025-06-02,Medium,Pending
BR000028,TMS000031,C00041,Engineering,226,2025-06-09,Medium,Pending
BR000029,TMS000032,C00037,Engineering,49,2025-06-22,High,Pending
BR000030,TMS000033,C00022,Engineering,73,2025-06-02,Low,Pending
BR000031,TMS000034,C00056,Engineering,156,2025-06-19,Low,Pending
BR000032,TMS000035,C00012,Engineering,168,2025-06-12,Low,Pending
BR000033,TMS000036,C00038,Engineering,229,2025-06-05,Low,Pending
BR000034,TMS000038,C00081,Engineering,201,2025-06-05,Low,Pending
BR000035,TMS000040,C00038,Engineering,100,2025-06-22,Medium,Pending
BR000036,TMS000043,C00029,Engineering,164,2025-06-27,Low,Pending
BR000037,TMS000044,C00083,Engineering,87,2025-06-13,Low,Pending
BR000038,TMS000046,C00061,Engineering,153,2025-06-18,Medium,Pending
BR000039,TMS000047,C00079,Engineering,281,2025-06-16,Medium,Pending
BR000040,TMS000049,C00080,Engineering,223,2025-06-12,Medium,Pending
BR000041,TMS000050,C00049,Engineering,163,2025-06-01,High,Pending
BR000042,TMS000051,C00032,Engineering,81,2025-06-03,Medium,Pending
BR000043,TMS000053,C00086,Engineering,129,2025-06-17,Low,Pending
