block_window_id,corridor_id,block_date,window_start,window_end,available_duration_min,availability_status,source
COA000001,C00027,2025-06-28,18:27,19:42,75,Available,COA synthetic availability
COA000002,C00002,2025-06-03,03:32,06:29,177,Available,COA synthetic availability
COA000003,C00009,2025-06-15,10:49,12:56,127,Available,COA synthetic availability
COA000004,C00092,2025-06-11,10:46,13:03,137,Available,COA synthetic availability
COA000005,C00058,2025-06-29,19:22,20:08,46,Available,COA synthetic availability
COA000006,C00064,2025-06-12,05:45,08:39,174,Available,COA synthetic availability
COA000007,C00044,2025-06-15,05:24,06:10,46,Available,COA synthetic availability
COA000008,C00041,2025-06-04,04:48,07:32,164,Available,COA synthetic availability
COA000009,C00042,2025-06-28,16:31,17:14,43,Available,COA synthetic availability
COA000010,C00048,2025-06-02,12:01,13:24,83,Available,COA synthetic availability
COA000011,C00098,2025-06-17,18:00,20:06,126,Available,COA synthetic availability
COA000012,C00096,2025-06-10,13:23,15:26,123,Available,COA synthetic availability
COA000013,C00068,2025-06-24,05:15,06:11,56,Available,COA synthetic availability
COA000014,C00013,2025-06-21,09:09,10:17,68,Restricted,COA synthetic availability
COA000015,C00031,2025-06-09,18:04,21:02,178,Available,COA synthetic availability
COA000016,C00057,2025-06-12,19:40,22:06,146,Available,COA synthetic availability
COA000017,C00011,2025-06-28,09:59,12:28,149,Available,COA synthetic availability
COA000018,C00053,2025-06-04,00:07,01:18,71,Available,COA synthetic availability
COA000019,C00099,2025-06-09,14:38,16:40,122,Available,COA synthetic availability
COA000020,C00057,2025-06-18,04:00,06:56,176,Available,COA synthetic availability
COA000021,C00086,2025-06-17,14:38,15:25,47,Available,COA synthetic availability
COA000022,C00046,2025-06-05,11:50,13:14,84,Available,COA synthetic availability
COA000023,C00016,2025-06-20,07:33,08:33,60,Available,COA synthetic availability
COA000024,C00080,2025-06-13,16:27,18:04,97,Available,COA synthetic availability
COA000025,C00031,2025-06-30,19:51,21:10,79,Available,COA synthetic availability
COA000026,C00093,2025-06-18,01:27,03:06,99,Available,COA synthetic availability
COA000027,C00043,2025-06-18,00:03,02:35,152,Available,COA synthetic availability
COA000028,C00007,2025-06-01,11:09,13:42,153,Available,COA synthetic availability
COA000029,C00097,2025-06-07,02:25,03:43,78,Restricted,COA synthetic availability
COA000030,C00063,2025-06-04,11:23,14:10,167,Available,COA synthetic availability
COA000031,C00065,2025-06-10,09:06,11:14,128,Available,COA synthetic availability
COA000032,C00038,2025-06-02,19:44,22:38,174,Available,COA synthetic availability
COA000033,C00075,2025-06-15,14:52,15:51,59,Available,COA synthetic availability
COA000034,C00042,2025-06-22,15:55,17:38,103,Available,COA synthetic availability
COA000035,C00054,2025-06-15,00:25,03:05,160,Available,COA synthetic availability
COA000036,C00033,2025-06-30,03:15,06:10,175,Available,COA synthetic availability
COA000037,C00004,2025-06-11,12:30,15:17,167,Restricted,COA synthetic availability
COA000038,C00075,2025-06-01,14:03,15:01,58,Available,COA synthetic availability
COA000039,C00034,2025-06-11,00:40,01:44,64,Available,COA synthetic availability
COA000040,C00018,2025-06-22,05:19,07:33,134,Available,COA synthetic availability
COA000041,C00095,2025-06-09,01:00,02:07,67,Available,COA synthetic availability
COA000042,C00098,2025-06-10,18:13,20:17,124,Available,COA synthetic availability
COA000043,C00058,2025-06-30,17:45,19:21,96,Available,COA synthetic availability
