forecast_id,corridor_id,forecast_date,forecast_goods_trains,peak_period,confidence_pct
GTF000001,C00095,2025-06-01,5,Normal,78
GTF000002,C00018,2025-06-28,3,Normal,79
GTF000003,C00002,2025-06-23,5,Normal,91
GTF000004,C00064,2025-06-20,6,Peak,76
GTF000005,C00075,2025-06-16,5,Normal,82
GTF000006,C00073,2025-06-20,1,Off-Peak,77
GTF000007,C00038,2025-06-16,5,Peak,86
GTF000008,C00069,2025-06-30,8,Normal,94
GTF000009,C00066,2025-06-23,1,Normal,85
GTF000010,C00040,2025-06-06,5,Off-Peak,90
GTF000011,C00006,2025-06-18,3,Off-Peak,89
GTF000012,C00042,2025-06-15,3,Off-Peak,85
GTF000013,C00044,2025-06-02,5,Off-Peak,73
GTF000014,C00099,2025-06-25,8,Off-Peak,95
GTF000015,C00014,2025-06-18,6,Off-Peak,81
GTF000016,C00095,2025-06-28,4,Off-Peak,94
GTF000017,C00048,2025-06-10,5,Normal,89
GTF000018,C00006,2025-06-24,4,Normal,84
GTF000019,C00094,2025-06-12,9,Off-Peak,82
GTF000020,C00027,2025-06-22,7,Normal,79
GTF000021,C00030,2025-06-08,5,Normal,80
GTF000022,C00090,2025-06-26,2,Normal,92
GTF000023,C00075,2025-06-17,6,Peak,94
GTF000024,C00081,2025-06-15,2,Normal,88
GTF000025,C00006,2025-06-05,2,Peak,84
GTF000026,C00097,2025-06-25,5,Normal,83
GTF000027,C00094,2025-06-05,7,Normal,75
GTF000028,C00064,2025-06-08,5,Peak,76
GTF000029,C00011,2025-06-23,5,Normal,78
GTF000030,C00014,2025-06-29,3,Peak,76
GTF000031,C00018,2025-06-25,2,Normal,75
GTF000032,C00052,2025-06-10,7,Normal,93
GTF000033,C00007,2025-06-04,4,Off-Peak,92
GTF000034,C00062,2025-06-26,6,Off-Peak,76
GTF000035,C00057,2025-06-21,6,Off-Peak,87
GTF000036,C00050,2025-06-30,3,Off-Peak,84
GTF000037,C00034,2025-06-25,1,Normal,70
GTF000038,C00075,2025-06-29,3,Normal,77
GTF000039,C00075,2025-06-13,6,Normal,92
GTF000040,C00057,2025-06-08,5,Normal,80
GTF000041,C00035,2025-06-18,3,Normal,92
GTF000042,C00075,2025-06-27,5,Normal,71
GTF000043,C00025,2025-06-19,3,Off-Peak,87
GTF000044,C00061,2025-06-07,4,Peak,88
GTF000045,C00032,2025-06-16,2,Normal,80
GTF000046,C00042,2025-06-17,3,Off-Peak,91
GTF000047,C00018,2025-06-14,10,Peak,83
GTF000048,C00094,2025-06-10,3,Off-Peak,86
GTF000049,C00017,2025-06-28,4,Peak,74
GTF000050,C00086,2025-06-08,5,Normal,74
GTF000051,C00086,2025-06-01,8,Off-Peak,73
GTF000052,C00032,2025-06-24,10,Normal,82
GTF000053,C00011,2025-06-20,8,Normal,82
GTF000054,C00035,2025-06-24,2,Normal,71
GTF000055,C00029,2025-06-13,8,Peak,79
GTF000056,C00003,2025-06-28,6,Off-Peak,94
GTF000057,C00014,2025-06-03,6,Off-Peak,85
GTF000058,C00028,2025-06-26,9,Off-Peak,71
GTF000059,C00074,2025-06-08,3,Normal,79
GTF000060,C00097,2025-06-12,4,Off-Peak,75
GTF000061,C00010,2025-06-03,4,Normal,82
GTF000062,C00026,2025-06-11,5,Off-Peak,91
GTF000063,C00045,2025-06-02,3,Normal,83
GTF000064,C00042,2025-06-09,6,Normal,84
GTF000065,C00016,2025-06-15,2,Peak,80
