historical_plan_id,block_request_id,corridor_id,planned_date,planned_start_time,planned_duration_min,planning_method,conflict_count,utilization_pct,status
HP000001,BR000815,C00056,2025-06-22,09:36,106,Manual,4,76,Completed
HP000002,BR003794,C00097,2025-06-15,11:00,45,Manual,1,46,Completed
HP000003,BR001662,C00053,2025-06-01,08:47,104,Manual,2,66,Completed
HP000004,BR003586,C00055,2025-06-05,00:47,75,Manual,0,50,Completed
HP000005,BR000224,C00075,2025-06-12,00:36,132,Manual,1,81,Completed
HP000006,BR005420,C00065,2025-06-02,04:10,87,Manual,4,52,Completed
HP000007,BR001508,C00092,2025-06-08,14:35,68,Manual,3,78,Completed
HP000008,BR000861,C00027,2025-06-17,09:32,187,Manual,4,77,Completed
HP000009,BR003581,C00025,2025-06-30,02:41,99,Manual,1,45,Completed
HP000010,BR005798,C00056,2025-06-14,18:11,114,Manual,1,83,Completed
HP000011,BR002162,C00094,2025-06-02,17:12,166,Manual,4,77,Completed
HP000012,BR005853,C00067,2025-06-01,11:57,32,Manual,3,46,Completed
HP000013,BR001282,C00090,2025-06-08,09:58,145,Manual,2,55,Completed
HP000014,BR005828,C00009,2025-06-10,04:58,215,Manual,3,65,Completed
HP000015,BR003721,C00005,2025-06-29,08:20,123,Manual,0,68,Completed
HP000016,BR000638,C00066,2025-06-05,17:12,152,Manual,3,59,Completed
HP000017,BR003512,C00023,2025-06-30,12:49,172,Manual,1,50,Completed
HP000018,BR005341,C00060,2025-06-08,08:02,170,Manual,4,49,Completed
HP000019,BR004640,C00012,2025-06-18,00:25,204,Manual,1,60,Completed
HP000020,BR000546,C00072,2025-06-16,12:05,244,Manual,2,49,Completed
HP000021,BR001202,C00092,2025-06-26,13:11,54,Manual,0,71,Completed
HP000022,BR001168,C00077,2025-06-09,01:14,66,Manual,1,69,Completed
HP000023,BR003605,C00038,2025-06-05,07:20,132,Manual,2,55,Completed
HP000024,BR000848,C00030,2025-06-13,12:28,58,Manual,2,49,Completed
HP000025,BR002575,C00093,2025-06-11,05:28,97,Manual,2,84,Completed
HP000026,BR005560,C00044,2025-06-25,06:21,140,Manual,2,62,Completed
HP000027,BR001085,C00039,2025-06-25,10:25,233,Manual,2,48,Completed
HP000028,BR005996,C00077,2025-06-06,06:40,155,Manual,2,73,Completed
HP000029,BR001335,C00067,2025-06-13,13:50,175,Manual,4,67,Completed
HP000030,BR003112,C00072,2025-06-07,07:29,34,Manual,2,49,Completed
HP000031,BR000521,C00007,2025-06-22,01:49,152,Manual,3,85,Completed
HP000032,BR004704,C00063,2025-06-08,06:00,167,Manual,1,53,Completed
HP000033,BR002235,C00006,2025-06-20,05:38,224,Manual,5,74,Completed
HP000034,BR000420,C00001,2025-06-07,13:27,107,Manual,3,53,Completed
HP000035,BR003123,C00096,2025-06-19,10:18,239,Manual,3,51,Completed
HP000036,BR001219,C00073,2025-06-07,04:20,45,Manual,5,73,Completed
HP000037,BR001839,C00066,2025-06-26,01:49,128,Manual,1,71,Completed
HP000038,BR004023,C00047,2025-06-21,07:31,135,Manual,3,48,Completed
HP000039,BR005900,C00100,2025-06-09,06:00,77,Manual,5,74,Completed
HP000040,BR001110,C00087,2025-06-24,15:39,61,Manual,2,80,Completed
HP000041,BR001570,C00023,2025-06-12,17:19,34,Manual,3,55,Completed
HP000042,BR002349,C00008,2025-06-12,08:46,152,Manual,1,53,Completed
HP000043,BR005270,C00088,2025-06-08,17:11,135,Manual,3,69,Completed
HP000044,BR005083,C00052,2025-06-20,01:45,126,Manual,7,62,Completed
HP000045,BR001661,C00090,2025-06-25,11:18,192,Manual,3,58,Completed
HP000046,BR005531,C00023,2025-06-07,10:42,64,Manual,3,53,Completed
HP000047,BR003670,C00050,2025-06-13,13:49,184,Manual,1,66,Completed
HP000048,BR004209,C00022,2025-06-09,04:19,198,Manual,3,71,Completed
HP000049,BR001483,C00027,2025-06-07,18:42,99,Manual,2,66,Completed
HP000050,BR001889,C00095,2025-06-09,09:34,124,Manual,3,52,Completed
HP000051,BR004312,C00022,2025-06-05,00:30,205,Manual,2,46,Completed
HP000052,BR001475,C00020,2025-06-17,03:37,119,Manual,0,68,Completed
HP000053,BR005804,C00070,2025-06-04,10:34,160,Manual,3,49,Completed
HP000054,BR005868,C00066,2025-06-11,10:57,48,Manual,0,61,Completed
HP000055,BR003427,C00035,2025-06-25,14:01,126,Manual,1,84,Completed
HP000056,BR003063,C00086,2025-06-21,02:03,213,Manual,0,53,Completed
HP000057,BR001465,C00051,2025-06-16,14:29,164,Manual,2,62,Completed
HP000058,BR001321,C00084,2025-06-01,04:39,110,Manual,2,77,Completed
HP000059,BR004846,C00030,2025-06-23,03:50,59,Manual,1,64,Completed
HP000060,BR001857,C00088,2025-06-14,15:55,226,Manual,1,61,Completed
HP000061,BR001964,C00082,2025-06-01,07:48,211,Manual,4,68,Completed
HP000062,BR002797,C00020,2025-06-07,05:25,47,Manual,1,81,Completed
HP000063,BR001520,C00034,2025-06-22,03:00,198,Manual,4,47,Completed
HP000064,BR005972,C00010,2025-06-04,15:38,155,Manual,3,52,Completed
HP000065,BR002692,C00002,2025-06-08,05:21,237,Manual,1,52,Completed
HP000066,BR000608,C00031,2025-06-20,16:18,134,Manual,3,50,Completed
HP000067,BR000877,C00066,2025-06-20,11:49,168,Manual,1,47,Completed
HP000068,BR001750,C00007,2025-06-18,14:28,65,Manual,0,72,Completed
HP000069,BR002567,C00061,2025-06-03,09:03,185,Manual,2,85,Completed
HP000070,BR003071,C00054,2025-06-08,13:47,246,Manual,1,80,Completed
HP000071,BR001930,C00088,2025-06-05,15:13,91,Manual,1,85,Completed
HP000072,BR000465,C00079,2025-06-18,19:45,210,Manual,3,79,Completed
HP000073,BR003382,C00086,2025-06-14,08:50,217,Manual,1,62,Completed
HP000074,BR005568,C00080,2025-06-17,05:46,76,Manual,3,68,Completed
HP000075,BR000535,C00049,2025-06-14,18:23,99,Manual,1,71,Completed
HP000076,BR001390,C00025,2025-06-21,16:01,185,Manual,2,74,Completed
HP000077,BR004275,C00052,2025-06-17,04:18,114,Manual,0,48,Completed
HP000078,BR000724,C00052,2025-06-16,00:49,161,Manual,4,55,Completed
HP000079,BR005802,C00045,2025-06-24,12:07,71,Manual,0,68,Completed
HP000080,BR003490,C00043,2025-06-29,08:09,83,Manual,2,57,Completed
HP000081,BR002418,C00066,2025-06-01,01:07,120,Manual,0,53,Completed
HP000082,BR000312,C00044,2025-06-21,06:23,106,Manual,3,61,Completed
HP000083,BR003660,C00099,2025-06-21,19:33,168,Manual,2,52,Completed
HP000084,BR004493,C00093,2025-06-15,07:09,163,Manual,1,67,Completed
HP000085,BR004268,C00071,2025-06-02,01:59,220,Manual,0,64,Completed
HP000086,BR002104,C00036,2025-06-29,18:21,151,Manual,3,48,Completed
HP000087,BR005938,C00024,2025-06-23,05:44,255,Manual,4,78,Completed
HP000088,BR005540,C00020,2025-06-24,13:24,77,Manual,1,77,Completed
HP000089,BR001079,C00085,2025-06-21,14:51,168,Manual,4,64,Completed
HP000090,BR001160,C00063,2025-06-08,03:28,173,Manual,1,84,Completed
HP000091,BR004922,C00088,2025-06-03,11:42,144,Manual,4,61,Completed
HP000092,BR002881,C00088,2025-06-06,03:12,199,Manual,1,58,Completed
HP000093,BR003459,C00095,2025-06-16,06:26,149,Manual,3,68,Completed
HP000094,BR002458,C00088,2025-06-18,16:58,206,Manual,1,60,Completed
HP000095,BR002251,C00049,2025-06-15,10:27,139,Manual,0,68,Completed
HP000096,BR000754,C00045,2025-06-03,02:05,128,Manual,0,53,Completed
HP000097,BR005123,C00098,2025-06-07,03:31,77,Manual,2,55,Completed
HP000098,BR000284,C00013,2025-06-11,15:51,109,Manual,1,59,Completed
HP000099,BR002972,C00068,2025-06-20,11:37,83,Manual,3,71,Completed
HP000100,BR002553,C00040,2025-06-23,01:52,104,Manual,2,67,Completed
HP000101,BR002761,C00072,2025-06-01,16:11,145,Manual,1,57,Completed
HP000102,BR002967,C00087,2025-06-25,17:59,89,Manual,2,77,Completed
HP000103,BR004912,C00042,2025-06-12,07:40,179,Manual,2,81,Completed
HP000104,BR004211,C00042,2025-06-13,07:21,285,Manual,0,73,Completed
HP000105,BR000672,C00092,2025-06-28,15:04,243,Manual,1,80,Completed
