task_id,asset_id,asset_type,corridor_id,location_km,equipment_type,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,reported_date,due_date,overdue_days,estimated_duration_min,required_team_size,maintenance_type,power_isolation_required,possession_required,status
TDMS000001,AST010161,Jumper,C00081,70.5,Jumper Wire,Loose jumper,Medium,2,2,3,2025-03-03,2025-03-20,103,114,3,Preventive,Yes,Yes,In Progress
TDMS000002,AST009954,Insulator,C00042,0.6,Insulator,Insulator defect,High,3,3,3,2025-06-18,2025-06-26,5,82,4,Corrective,Yes,No,Open
TDMS000003,AST009957,Feeder,C00013,1.1,Feeder Line,Feeder fault,Medium,4,3,2,2025-05-15,2025-05-31,0,136,3,Preventive,Yes,Yes,Completed
TDMS000004,AST011616,Transformer,C00080,2.6,Traction Transformer,Transformer inspection,High,5,5,4,2025-06-17,2025-06-28,3,287,5,Inspection,Yes,Yes,In Progress
TDMS000005,AST010933,Mast,C00099,6.0,OHE Mast,Mast defect,Medium,3,2,2,2025-04-23,2025-05-16,46,129,3,Preventive,Yes,Yes,Open
TDMS000006,AST008951,OHE,C00023,23.1,Overhead Equipment,Preventive OHE maintenance,High,3,3,2,2025-06-20,2025-07-01,0,143,5,Preventive,Yes,Yes,Open
TDMS000007,AST011692,Catenary,C00065,16.1,Catenary Wire,Catenary sag,Low,3,3,2,2025-03-04,2025-04-12,80,175,3,Preventive,Yes,Yes,Open
TDMS000008,AST009183,Jumper,C00069,77.4,Jumper Wire,Loose jumper,Critical,4,5,3,2025-05-27,2025-06-01,0,70,2,Corrective,Yes,Yes,Completed
TDMS000009,AST009012,Transformer,C00014,60.7,Traction Transformer,Transformer inspection,High,5,4,2,2025-06-17,2025-06-25,6,323,5,Inspection,Yes,Yes,Scheduled
TDMS000010,AST009980,Insulator,C00088,2.8,Insulator,Insulator defect,Critical,4,4,3,2025-06-20,2025-06-22,0,120,3,Corrective,No,Yes,Completed
TDMS000011,AST011676,Mast,C00046,7.5,OHE Mast,Mast defect,Medium,3,3,3,2025-06-25,2025-07-20,0,78,3,Preventive,No,Yes,Scheduled
TDMS000012,AST009807,Feeder,C00002,99.5,Feeder Line,Feeder fault,Low,1,2,1,2025-05-20,2025-07-03,0,142,3,Preventive,Yes,Yes,Open
TDMS000013,AST010785,OHE,C00004,62.5,Overhead Equipment,OHE wear,High,4,4,1,2025-05-22,2025-06-04,27,137,3,Corrective,Yes,No,Open
TDMS000014,AST011206,OHE,C00004,63.5,Overhead Equipment,Preventive OHE maintenance,Medium,3,2,1,2025-05-27,2025-06-17,0,111,5,Preventive,Yes,Yes,Completed
TDMS000015,AST010898,Jumper,C00075,3.9,Jumper Wire,Loose jumper,Medium,2,1,3,2025-04-11,2025-05-01,61,70,2,Preventive,Yes,Yes,Scheduled
TDMS000016,AST009352,Catenary,C00048,96.0,Catenary Wire,Catenary sag,Medium,2,3,2,2025-05-22,2025-06-06,25,203,3,Preventive,Yes,Yes,Open
TDMS000017,AST010088,Feeder,C00010,74.1,Feeder Line,Feeder fault,Medium,4,2,2,2025-06-15,2025-07-02,0,160,3,Preventive,Yes,No,Scheduled
TDMS000018,AST009052,Insulator,C00006,1.5,Insulator,Insulator defect,Low,1,1,2,2025-03-07,2025-04-18,0,125,2,Preventive,Yes,Yes,Completed
TDMS000019,AST009629,Pantograph Interaction Zone,C00084,245.5,Pantograph Interaction Zone,OHE wear,High,5,5,2,2025-04-15,2025-04-27,0,117,3,Corrective,Yes,Yes,Completed
TDMS000020,AST009216,Insulator,C00013,22.3,Insulator,Insulator defect,Medium,2,3,3,2025-06-17,2025-07-11,0,70,2,Preventive,No,Yes,In Progress
TDMS000021,AST008650,Insulator,C00002,96.4,Insulator,Insulator defect,Low,2,1,1,2025-06-26,2025-08-09,0,124,3,Preventive,Yes,Yes,Open
TDMS000022,AST010675,Transformer,C00070,16.2,Traction Transformer,Transformer inspection,Low,3,1,2,2025-05-30,2025-07-11,0,220,4,Inspection,Yes,No,Completed
TDMS000023,AST009122,Pantograph Interaction Zone,C00007,147.7,Pantograph Interaction Zone,OHE wear,Low,2,3,2,2025-06-27,2025-08-16,0,225,2,Preventive,Yes,Yes,Open
TDMS000024,AST009261,OHE,C00085,36.6,Overhead Equipment,Preventive OHE maintenance,High,2,3,2,2025-06-03,2025-06-11,20,188,3,Preventive,Yes,Yes,In Progress
TDMS000025,AST010332,Section Insulator,C00019,25.1,Section Insulator,Section insulator wear,Low,3,2,3,2025-06-24,2025-08-07,0,67,4,Preventive,Yes,Yes,Deferred
TDMS000026,AST011110,OHE,C00024,65.7,Overhead Equipment,Preventive OHE maintenance,Medium,3,2,1,2025-06-26,2025-07-11,0,159,4,Preventive,Yes,Yes,Scheduled
TDMS000027,AST010374,Feeder,C00094,61.2,Feeder Line,Feeder fault,Low,1,2,2,2025-06-24,2025-08-04,0,123,3,Preventive,Yes,Yes,In Progress
TDMS000028,AST009442,Jumper,C00012,16.7,Jumper Wire,Loose jumper,High,3,4,1,2025-06-06,2025-06-16,15,47,1,Corrective,Yes,Yes,Open
TDMS000029,AST008911,Pantograph Interaction Zone,C00047,17.3,Pantograph Interaction Zone,OHE wear,High,4,4,3,2025-06-30,2025-07-09,0,193,3,Corrective,Yes,Yes,Deferred
