task_id,asset_id,asset_type,corridor_id,location_km,defect_or_task,defect_category,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,reported_date,due_date,overdue_days,estimated_duration_min,required_team_size,maintenance_type,weather_sensitive,possession_required,status
TMS000001,AST004613,Weld,C00069,127.8,Rail wear,Rail Defect,Medium,4,2,2,2025-05-18,2025-06-12,19,75,2,Preventive,No,Yes,Scheduled
TMS000002,AST005034,Ballast,C00033,0.3,Ballast deficiency,Ballast Defect,Low,2,1,2,2025-05-10,2025-06-26,0,43,3,Preventive,No,Yes,Completed
TMS000003,AST000826,Crossing,C00078,7.6,Drainage issue,Drainage,Medium,2,3,2,2025-04-16,2025-05-06,56,91,4,Preventive,Yes,No,Open
TMS000004,AST004620,Sleeper,C00002,30.1,Weld defect,Rail Defect,Medium,2,3,1,2025-02-16,2025-03-14,109,114,2,Preventive,No,Yes,Open
TMS000005,AST001012,Crossing,C00078,24.7,Preventive maintenance,Preventive,High,2,5,3,2025-05-06,2025-05-18,44,78,2,Preventive,Yes,Yes,Open
TMS000006,AST002759,Switch,C00041,23.5,Ballast deficiency,Ballast Defect,Medium,3,1,2,2025-06-10,2025-06-30,1,115,3,Preventive,Yes,Yes,Open
TMS000007,AST004893,Bridge,C00056,12.2,Corrective maintenance,Corrective,Low,3,2,1,2025-03-17,2025-05-05,57,252,6,Corrective,No,Yes,Scheduled
TMS000008,AST004121,Sleeper,C00094,86.2,Weld defect,Rail Defect,Medium,3,3,3,2025-06-14,2025-07-12,0,146,3,Preventive,No,Yes,Open
TMS000009,AST002203,Track,C00068,73.0,Turnout wear,Turnout/Switch Defect,High,4,4,2,2025-05-18,2025-05-26,36,229,4,Corrective,No,Yes,Scheduled
TMS000010,AST003417,Crossing,C00084,168.7,Rail crack,Rail Defect,High,3,4,3,2025-06-25,2025-07-08,0,119,2,Corrective,Yes,Yes,Scheduled
TMS000011,AST003665,Switch,C00033,70.0,Rail crack,Rail Defect,Low,3,3,1,2025-04-06,2025-05-17,45,182,4,Preventive,Yes,Yes,Scheduled
TMS000012,AST003054,Turnout,C00054,9.9,Sleeper damage,Sleeper Defect,Low,2,2,2,2025-06-29,2025-08-06,0,115,3,Preventive,No,Yes,Scheduled
TMS000013,AST000528,Weld,C00014,0.5,Preventive maintenance,Preventive,Medium,4,3,1,2025-06-25,2025-07-23,0,128,1,Preventive,Yes,Yes,Scheduled
TMS000014,AST002462,Rail,C00005,99.5,Corrective maintenance,Corrective,Medium,1,2,3,2025-05-02,2025-05-20,42,220,4,Corrective,No,Yes,Deferred
TMS000015,AST000114,Sleeper,C00002,48.8,Rail wear,Rail Defect,Low,1,1,1,2025-03-13,2025-04-24,68,150,2,Preventive,No,Yes,Open
TMS000016,AST000377,Switch,C00092,3.9,Corrective maintenance,Corrective,Medium,3,4,2,2025-06-22,2025-07-13,0,211,5,Corrective,No,Yes,Scheduled
TMS000017,AST000674,Track,C00081,36.4,Drainage issue,Drainage,Low,3,3,1,2025-06-08,2025-07-22,0,110,3,Preventive,No,Yes,Open
TMS000018,AST004261,Bridge,C00078,50.1,Corrective maintenance,Corrective,High,3,3,4,2025-05-14,2025-05-24,38,280,3,Corrective,No,Yes,Open
TMS000019,AST001757,Switch,C00063,155.8,Scheduled inspection,Inspection,Medium,2,3,1,2025-05-05,2025-05-20,0,85,2,Inspection,No,Yes,Completed
TMS000020,AST002104,Weld,C00036,25.5,Corrective maintenance,Corrective,Critical,4,4,3,2025-03-23,2025-03-28,95,308,4,Corrective,No,Yes,In Progress
TMS000021,AST003486,Bridge,C00003,49.0,Scheduled inspection,Inspection,Critical,3,5,3,2025-06-25,2025-06-29,2,43,2,Inspection,No,Yes,Open
TMS000022,AST002431,Ballast,C00094,102.3,Track geometry defect,Track Geometry,Medium,3,2,2,2025-06-13,2025-06-30,1,162,4,Preventive,No,Yes,In Progress
