movement_id,train_no,from_station_sequence,corridor_id,from_station_code,to_station_code,arrival_time,next_arrival_time,movement_date,movement_type,conflict_buffer_min
MW000001,12014,1,C00016,RE,AWR,18:42,19:37,2025-06-02,Train Movement,10
MW000002,12014,3,C00098,NOAP,DAWN,20:09,20:18,2025-06-03,Train Movement,9
MW000003,12014,5,C00022,KSJ,IZN,21:07,23:37,2025-06-30,Train Movement,7
MW000004,12014,7,C00092,BRC,ADI,00:19,01:35,2025-06-26,Train Movement,13
MW000005,12014,9,C00053,SHM,KGP,02:25,03:57,2025-06-23,Train Movement,6
MW000006,12014,10,C00049,KGP,HWH,03:57,05:24,2025-06-25,Train Movement,7
MW000007,12014,11,C00031,HWH,BWN,05:24,06:32,2025-06-08,Train Movement,6
MW000008,12014,13,C00027,APDJ,NBQ,07:40,09:37,2025-06-20,Train Movement,14
MW000009,12014,15,C00033,JSME,ASN,10:30,11:53,2025-06-21,Train Movement,15
MW000010,12014,16,C00036,ASN,DHN,11:53,12:42,2025-06-23,Train Movement,15
MW000011,12014,17,C00039,DHN,KTH,12:42,13:08,2025-06-12,Train Movement,6
MW000012,12014,19,C00066,SA,ED,13:23,14:05,2025-06-12,Train Movement,10
MW000013,12020,1,C00080,DD,PUNE,04:23,05:18,2025-06-19,Train Movement,11
MW000014,12020,3,C00005,FZR,ASR,06:00,07:31,2025-06-24,Train Movement,5
MW000015,12020,5,C00094,MHV,BVC,08:03,10:20,2025-06-06,Train Movement,11
MW000016,12020,7,C00081,NGP,WR,10:43,11:42,2025-06-15,Train Movement,14
MW000017,12020,9,C00032,SDAH,KBGB,12:10,12:30,2025-06-23,Train Movement,8
MW000018,12020,11,C00083,KWV,SUR,13:00,14:17,2025-06-25,Train Movement,7
MW000019,12020,13,C00082,BSL,AK,15:00,16:39,2025-06-09,Train Movement,15
MW000020,12020,15,C00089,ET,BPL,17:10,18:19,2025-06-22,Train Movement,8
MW000021,12020,16,C00087,BPL,UJN,18:19,20:34,2025-06-17,Train Movement,8
MW000022,12020,17,C00095,UJN,RTM,20:34,21:46,2025-06-16,Train Movement,5
MW000023,12025,1,C00026,NJP,GHY,05:25,10:09,2025-06-11,Train Movement,5
MW000024,12025,2,C00025,GHY,DBRG,10:09,15:04,2025-06-11,Train Movement,8
MW000025,12025,4,C00092,ADI,BRC,16:07,17:24,2025-06-25,Train Movement,8
MW000026,12025,6,C00028,LMG,BPB,18:00,19:41,2025-06-17,Train Movement,12
MW000027,12025,8,C00033,JSME,ASN,20:13,21:30,2025-06-27,Train Movement,6
