schedule_id,train_no,train_name,train_type,source_station_code,source_station_name,destination_station_code,destination_station_name,station_sequence,station_code,station_name,arrival_time,departure_time,distance_km,running_days,direction
SCH0000001,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,1,DNR,Danapur,12:24,12:24,0.0,Daily,DOWN
SCH0000002,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,2,MKA,Mokama,13:41,13:49,89.5,Daily,DOWN
SCH0000003,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,3,BVC,Bhavnagar Terminus,14:26,14:30,134.5,Daily,DOWN
SCH0000004,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,4,MHV,Mahuva Junction,17:20,17:25,325.8,Daily,DOWN
SCH0000005,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,5,DURG,Durg Junction,18:09,18:14,377.8,Daily,DOWN
SCH0000006,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,6,R,Raipur Junction,18:49,18:54,415.0,Daily,DOWN
SCH0000007,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,7,BSP,Bilaspur Junction,20:35,20:40,526.5,Daily,DOWN
SCH0000008,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,8,ROU,Rourkela Junction,23:47,23:52,735.0,Daily,DOWN
SCH0000009,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,9,HWHB,Howrah Maidan,01:33,01:38,853.0,Daily,DOWN
SCH0000010,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,10,SDSD,Sealdah,01:49,01:53,862.4,Daily,DOWN
SCH0000011,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,11,CBE,Coimbatore Junction,02:08,02:14,879.4,Daily,DOWN
SCH0000012,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,12,PGT,Palakkad Junction,03:02,03:09,935.6,Daily,DOWN
SCH0000013,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,13,SBP,Sambalpur Junction,03:58,04:01,991.6,Daily,DOWN
SCH0000014,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,14,TIG,Titlagarh Junction,06:42,06:50,1174.0,Daily,DOWN
SCH0000015,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,15,KHS,Kharsia,07:34,07:41,1223.0,Daily,DOWN
SCH0000016,14484,Danapur - Champa Junction Express,Express,DNR,Danapur,CPH,Champa Junction,16,CPH,Champa Junction,08:18,08:18,1268.3,Daily,DOWN
