task_id,department,asset_id,asset_type,corridor_id,location_km,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,overdue_days,estimated_duration_min,required_team_size,possession_required,maintenance_type,status,urgency_score,risk_score,asset_downtime_risk,maintenance_priority_score
TMS000001,Engineering,AST004613,Weld,C00069,127.8,Rail wear,Medium,4,2,2,19,75,2,Yes,Preventive,Scheduled,40.5,37.0,66,43.5
TMS000002,Engineering,AST005034,Ballast,C00033,0.3,Ballast deficiency,Low,2,1,2,0,43,3,Yes,Preventive,Completed,5.0,17.8,46,24.5
TMS000003,Engineering,AST000826,Crossing,C00078,7.6,Drainage issue,Medium,2,3,2,56,91,4,No,Preventive,Open,96.0,51.0,30,53.5
TMS000004,Engineering,AST004620,Sleeper,C00002,30.1,Weld defect,Medium,2,3,1,109,114,2,Yes,Preventive,Open,100.0,51.0,36,53.0
TMS000005,Engineering,AST001012,Crossing,C00078,24.7,Preventive maintenance,High,2,5,3,44,78,2,Yes,Preventive,Open,91.0,88.8,32,68.8
TMS000006,Engineering,AST002759,Switch,C00041,23.5,Ballast deficiency,Medium,3,1,2,1,115,3,Yes,Preventive,Open,13.5,23.0,52,28.7
TMS000007,Engineering,AST004893,Bridge,C00056,12.2,Corrective maintenance,Low,3,2,1,57,252,6,Yes,Corrective,Scheduled,90.5,31.8,38,44.9
TMS000008,Engineering,AST004121,Sleeper,C00094,86.2,Weld defect,Medium,3,3,3,0,146,3,Yes,Preventive,Open,12.0,51.0,54,43.8
TMS000009,Engineering,AST002203,Track,C00068,73.0,Turnout wear,High,4,4,2,36,229,4,Yes,Corrective,Scheduled,79.0,74.8,48,60.9
TMS000010,Engineering,AST003417,Crossing,C00084,168.7,Rail crack,High,3,4,3,0,119,2,Yes,Corrective,Scheduled,25.0,74.8,16,44.3
TMS000011,Engineering,AST003665,Switch,C00033,70.0,Rail crack,Low,3,3,1,45,182,4,Yes,Preventive,Scheduled,72.5,45.8,44,48.1
TMS000012,Engineering,AST003054,Turnout,C00054,9.9,Sleeper damage,Low,2,2,2,0,115,3,Yes,Preventive,Scheduled,5.0,31.8,38,28.3
TMS000013,Engineering,AST000528,Weld,C00014,0.5,Preventive maintenance,Medium,4,3,1,0,128,1,Yes,Preventive,Scheduled,12.0,51.0,42,34.8
TMS000014,Engineering,AST002462,Rail,C00005,99.5,Corrective maintenance,Medium,1,2,3,42,220,4,Yes,Corrective,Deferred,75.0,37.0,26,45.0
TMS000015,Engineering,AST000114,Sleeper,C00002,48.8,Rail wear,Low,1,1,1,68,150,2,Yes,Preventive,Open,100.0,17.8,30,37.7
TMS000016,Engineering,AST000377,Switch,C00092,3.9,Corrective maintenance,Medium,3,4,2,0,211,5,Yes,Corrective,Scheduled,12.0,65.0,54,46.8
TMS000017,Engineering,AST000674,Track,C00081,36.4,Drainage issue,Low,3,3,1,0,110,3,Yes,Preventive,Open,5.0,45.8,46,33.5
TMS000018,Engineering,AST004261,Bridge,C00078,50.1,Corrective maintenance,High,3,3,4,38,280,3,Yes,Corrective,Open,82.0,60.8,62,65.0
TMS000019,Engineering,AST001757,Switch,C00063,155.8,Scheduled inspection,Medium,2,3,1,0,85,2,Yes,Inspection,Completed,12.0,51.0,28,31.4
TMS000020,Engineering,AST002104,Weld,C00036,25.5,Corrective maintenance,Critical,4,4,3,95,308,4,Yes,Corrective,In Progress,100.0,86.0,58,79.0
TMS000021,Engineering,AST003486,Bridge,C00003,49.0,Scheduled inspection,Critical,3,5,3,2,43,2,Yes,Inspection,Open,43.0,100.0,38,61.1
TMS000022,Engineering,AST002431,Ballast,C00094,102.3,Track geometry defect,Medium,3,2,2,1,162,4,Yes,Preventive,In Progress,13.5,37.0,82,41.3
TMS000023,Engineering,AST003204,Switch,C00037,62.8,Rail wear,Low,3,2,1,14,132,3,Yes,Preventive,Open,26.0,31.8,46,32.2
TMS000024,Engineering,AST001773,Bridge,C00065,54.5,Sleeper damage,Low,2,2,2,0,136,4,Yes,Preventive,Completed,5.0,31.8,40,29.3
TMS000025,Engineering,AST000233,Ballast,C00068,131.3,Alignment defect,Medium,3,3,2,124,148,3,Yes,Preventive,Scheduled,100.0,51.0,56,61.2
TMS000026,Engineering,AST002056,Sleeper,C00042,11.8,Alignment defect,Critical,5,5,5,34,287,3,Yes,Corrective,Open,91.0,100.0,40,77.5
TMS000027,Engineering,AST003894,Switch,C00093,68.9,Preventive maintenance,Low,4,2,1,99,36,4,Yes,Preventive,Scheduled,100.0,31.8,44,47.1
TMS000028,Engineering,AST001133,Switch,C00076,100.4,Rail wear,Medium,3,3,2,97,110,3,Yes,Preventive,Open,100.0,51.0,44,58.2
TMS000029,Engineering,AST000749,Ballast,C00052,158.0,Corrective maintenance,Low,1,1,1,0,212,3,Yes,Corrective,Scheduled,5.0,17.8,52,23.3
TMS000030,Engineering,AST001263,Sleeper,C00063,130.7,Corrective maintenance,Medium,3,2,1,68,244,3,Yes,Corrective,Open,100.0,37.0,30,45.8
TMS000031,Engineering,AST001568,Rail,C00041,30.5,Track geometry defect,Medium,3,3,5,15,226,4,Yes,Preventive,Open,34.5,51.0,54,54.8
TMS000032,Engineering,AST002076,Track,C00037,70.1,Gauge defect,High,3,4,3,45,49,2,Yes,Corrective,Scheduled,92.5,74.8,66,71.7
TMS000033,Engineering,AST001251,Turnout,C00022,63.0,Weld defect,Low,2,2,2,0,73,3,No,Preventive,In Progress,5.0,31.8,48,30.9
TMS000034,Engineering,AST001159,Bridge,C00056,34.6,Rail crack,Low,2,3,2,7,156,4,Yes,Preventive,Scheduled,15.5,45.8,26,34.2
TMS000035,Engineering,AST004022,Crossing,C00012,16.0,Rail crack,Low,1,1,1,0,168,2,Yes,Preventive,Open,5.0,17.8,34,18.5
TMS000036,Engineering,AST004868,Turnout,C00038,101.8,Turnout wear,Low,3,2,2,0,229,3,No,Preventive,Open,5.0,31.8,38,28.3
TMS000037,Engineering,AST001130,Track,C00069,8.4,Scheduled inspection,Medium,2,2,1,0,62,2,No,Inspection,Completed,12.0,37.0,64,33.8
TMS000038,Engineering,AST001584,Weld,C00081,31.3,Rail crack,Low,2,1,1,0,201,4,Yes,Preventive,Open,5.0,17.8,16,14.3
TMS000039,Engineering,AST000711,Bridge,C00012,7.4,Alignment defect,Medium,1,3,2,0,143,3,Yes,Preventive,Completed,12.0,51.0,46,38.6
TMS000040,Engineering,AST003550,Sleeper,C00038,138.4,Drainage issue,Medium,2,2,2,103,100,2,No,Preventive,Open,100.0,37.0,38,51.0
TMS000041,Engineering,AST000131,Sleeper,C00094,165.2,Alignment defect,Low,3,1,1,0,157,3,Yes,Preventive,Completed,5.0,17.8,66,26.1
TMS000042,Engineering,AST000138,Crossing,C00028,3.5,Preventive maintenance,Low,2,1,3,0,75,3,Yes,Preventive,Completed,5.0,17.8,38,25.3
