block_request_id,task_id,asset_id,corridor_id,block_window_id,block_date,start_min,end_min,duration_min,predicted_priority,priority_category,department,possession_required,candidate_id,train_conflicts,total_conflict_duration_min,forecast_date,forecast_goods_trains,peak_period,confidence_pct,recommended_start,recommended_end,available_duration_min,optimized_utilization_pct,historical_conflict_count,historical_utilization_pct,historical_duration_min,historical_planning_method,historical_status,conflict_change,utilization_change_pct_points
BR000025,TMS000028,AST001133,C00076,COA001405,2025-06-02,1146,1256,110,59.352386474609375,Medium,Engineering,Yes,8,0,0.0,,0.0,,0.0,19:06,20:56,170,64.71,1.0,50.0,110.0,Manual,Completed,-1.0,14.709999999999994
BR000044,TMS000055,AST004019,C00066,COA000597,2025-06-25,68,101,33,26.74348258972168,Low,Engineering,Yes,11,0,0.0,2025-06-25,2.0,Normal,89.0,01:08,01:41,142,23.24,2.0,80.0,33.0,Manual,Completed,-2.0,-56.760000000000005
BR000051,TMS000065,AST000013,C00001,COA001199,2025-06-02,803,866,63,77.89313507080078,High,Engineering,Yes,13,0,0.0,,0.0,,0.0,13:23,14:26,82,76.83,3.0,69.0,63.0,Manual,Completed,-3.0,7.829999999999998
BR000062,TMS000076,AST002317,C00046,COA000796,2025-06-15,359,478,119,54.495582580566406,Medium,Engineering,Yes,16,0,0.0,2025-06-15,4.0,Normal,73.0,05:59,07:58,149,79.87,2.0,70.0,119.0,Manual,Completed,-2.0,9.870000000000005
BR000070,TMS000086,AST000036,C00017,COA000826,2025-06-20,186,239,53,74.3526382446289,High,Engineering,No,17,0,0.0,,0.0,,0.0,03:06,03:59,77,68.83,1.0,85.0,53.0,Manual,Completed,-1.0,-16.17
BR000081,TMS000098,AST003042,C00006,COA001192,2025-06-01,40,74,34,37.731422424316406,Low,Engineering,No,18,0,0.0,2025-06-01,3.0,Normal,93.0,00:40,01:14,82,41.46,4.0,67.0,34.0,Manual,Completed,-4.0,-25.54
BR000110,TMS000132,AST003824,C00008,COA001474,2025-06-10,1141,1214,73,27.067981719970703,Low,Engineering,Yes,26,0,0.0,,0.0,,0.0,19:01,20:14,143,51.05,1.0,48.0,73.0,Manual,Completed,-1.0,3.049999999999997
BR000132,TMS000162,AST001332,C00013,COA001108,2025-06-15,36,158,122,24.421567916870117,Low,Engineering,No,30,0,0.0,2025-06-15,2.0,Off-Peak,93.0,00:36,02:38,130,93.85,0.0,61.0,122.0,Manual,Completed,0.0,32.849999999999994
BR000141,TMS000172,AST002249,C00053,COA001336,2025-06-11,86,158,72,48.97134780883789,Medium,Engineering,Yes,38,0,0.0,2025-06-11,4.0,Off-Peak,94.0,01:26,02:38,138,52.17,1.0,72.0,72.0,Manual,Completed,-1.0,-19.83
BR000172,TMS000210,AST000269,C00003,COA001023,2025-06-06,41,176,135,52.04310989379883,Medium,Engineering,Yes,43,0,0.0,2025-06-06,4.0,Normal,93.0,00:41,02:56,156,86.54,3.0,61.0,135.0,Manual,Completed,-3.0,25.540000000000006
BR000194,TMS000242,AST001537,C00040,COA000102,2025-06-22,997,1101,104,48.13828659057617,Medium,Engineering,Yes,49,0,0.0,,0.0,,0.0,16:37,18:21,124,83.87,1.0,69.0,104.0,Manual,Completed,-1.0,14.870000000000005
BR000221,TMS000273,AST004477,C00052,COA000126,2025-06-16,75,144,69,63.24244689941406,High,Engineering,Yes,56,0,0.0,2025-06-16,2.0,Normal,92.0,01:15,02:24,118,58.47,2.0,79.0,69.0,Manual,Completed,-2.0,-20.53
BR000223,TMS000275,AST001732,C00049,COA001043,2025-06-25,20,54,34,32.53102493286133,Low,Engineering,Yes,63,0,0.0,2025-06-25,3.0,Normal,87.0,00:20,00:54,163,20.86,3.0,74.0,34.0,Manual,Completed,-3.0,-53.14
BR000227,TMS000279,AST002253,C00034,COA000039,2025-06-11,40,87,47,29.0541934967041,Low,Engineering,Yes,65,0,0.0,2025-06-11,4.0,Normal,82.0,00:40,01:27,64,73.44,1.0,61.0,47.0,Manual,Completed,-1.0,12.439999999999998
BR000249,TMS000306,AST001532,C00002,COA000347,2025-06-26,72,120,48,52.46213150024414,Medium,Engineering,Yes,69,0,0.0,,0.0,,0.0,01:12,02:00,94,51.06,3.0,47.0,48.0,Manual,Completed,-3.0,4.060000000000002
BR000259,TMS000319,AST004348,C00039,COA000175,2025-06-14,366,470,104,35.69047164916992,Low,Engineering,Yes,71,0,0.0,2025-06-14,4.0,Normal,73.0,06:06,07:50,163,63.8,5.0,61.0,104.0,Manual,Completed,-5.0,2.799999999999997
BR000335,TMS000422,AST004554,C00078,COA000293,2025-06-05,208,284,76,29.119583129882812,Low,Engineering,Yes,91,0,0.0,2025-06-05,3.0,Normal,77.0,03:28,04:44,128,59.38,1.0,46.0,76.0,Manual,Completed,-1.0,13.380000000000003
BR000336,TMS000423,AST003516,C00055,COA001100,2025-06-28,192,241,49,36.672454833984375,Low,Engineering,Yes,94,0,0.0,,0.0,,0.0,03:12,04:01,73,67.12,2.0,66.0,49.0,Manual,Completed,-2.0,1.1200000000000045
BR000372,TMS000470,AST002160,C00018,COA000484,2025-06-23,815,925,110,53.39499282836914,Medium,Engineering,Yes,101,0,0.0,2025-06-23,5.0,Normal,82.0,13:35,15:25,123,89.43,1.0,76.0,110.0,Manual,Completed,-1.0,13.430000000000007
BR000407,TMS000513,AST000799,C00006,COA000103,2025-06-23,561,644,83,66.24956512451172,High,Engineering,Yes,106,0,0.0,2025-06-23,1.0,Normal,88.0,09:21,10:44,85,97.65,2.0,55.0,83.0,Manual,Completed,-2.0,42.650000000000006
BR000455,TMS000574,AST000917,C00013,COA000275,2025-06-10,1126,1256,130,47.91828918457031,Medium,Engineering,Yes,116,0,0.0,2025-06-10,4.0,Peak,85.0,18:46,20:56,174,74.71,2.0,63.0,130.0,Manual,Completed,-2.0,11.709999999999994
BR000531,TMS000673,AST003211,C00003,COA000948,2025-06-23,132,287,155,67.15543365478516,High,Engineering,Yes,133,0,0.0,,0.0,,0.0,02:12,04:47,155,100.0,2.0,52.0,155.0,Manual,Completed,-2.0,48.0
BR000619,TMS000797,AST004551,C00002,COA000596,2025-06-22,546,642,96,36.27513122558594,Low,Engineering,Yes,141,0,0.0,,0.0,,0.0,09:06,10:42,110,87.27,3.0,84.0,96.0,Manual,Completed,-3.0,3.269999999999996
BR000628,TMS000809,AST000950,C00006,COA000586,2025-06-23,993,1120,127,84.33378601074219,Critical,Engineering,Yes,142,1,21.0,2025-06-23,1.0,Normal,88.0,16:33,18:40,173,73.41,4.0,50.0,127.0,Manual,Completed,-3.0,23.409999999999997
BR000639,TMS000824,AST002230,C00099,COA000614,2025-06-04,604,676,72,53.29069519042969,Medium,Engineering,No,154,0,0.0,2025-06-04,5.0,Off-Peak,70.0,10:04,11:16,83,86.75,1.0,72.0,72.0,Manual,Completed,-1.0,14.75
BR000642,TMS000828,AST004301,C00017,COA000379,2025-06-04,1086,1147,61,39.71046829223633,Low,Engineering,Yes,155,0,0.0,2025-06-04,6.0,Off-Peak,87.0,18:06,19:07,134,45.52,2.0,70.0,61.0,Manual,Completed,-2.0,-24.479999999999997
BR000673,TMS000862,AST004121,C00094,COA001471,2025-06-27,305,343,38,34.734703063964844,Low,Engineering,Yes,156,0,0.0,,0.0,,0.0,05:05,05:43,87,43.68,1.0,56.0,38.0,Manual,Completed,-1.0,-12.32
BR000804,TMS001043,AST003413,C00004,COA000764,2025-06-19,492,641,149,50.48440170288086,Medium,Engineering,Yes,175,0,0.0,,0.0,,0.0,08:12,10:41,176,84.66,0.0,50.0,149.0,Manual,Completed,0.0,34.66
BR000807,TMS001047,AST000257,C00041,COA000939,2025-06-05,432,587,155,50.37519454956055,Medium,Engineering,Yes,176,0,0.0,,0.0,,0.0,07:12,09:47,165,93.94,1.0,79.0,155.0,Manual,Completed,-1.0,14.939999999999998
BR000814,TMS001059,AST005247,C00077,COA000650,2025-06-26,399,454,55,70.0226058959961,High,Engineering,Yes,178,0,0.0,2025-06-26,9.0,Normal,90.0,06:39,07:34,89,61.8,0.0,81.0,55.0,Manual,Completed,0.0,-19.200000000000003
