block_window_id,block_date,corridor_id,window_start,window_end,available_duration_min,task_id,asset_id,task_duration_min,predicted_priority,request_priority,severity,safety_risk,maintenance_type
COA001390,2025-06-10,C00094,17:37,20:24,167,TMS003334,AST000014,156,87.45694732666016,Critical,Critical,5,Corrective
COA000016,2025-06-12,C00057,19:40,22:06,146,SMMS000388,AST008260,40,84.4769058227539,Critical,Critical,5,Corrective
COA000586,2025-06-23,C00006,16:33,19:26,173,TMS000809,AST000950,127,84.33378601074219,Critical,Critical,5,Preventive
COA001281,2025-06-01,C00073,15:01,17:43,162,SMMS001302,AST006638,116,83.59265899658203,Critical,Critical,5,Preventive
COA001247,2025-06-09,C00094,16:28,18:12,104,TMS001306,AST000938,56,83.41619873046875,Critical,Critical,5,Preventive
COA000975,2025-06-28,C00093,11:45,13:02,77,TMS002893,AST003405,48,82.43401336669922,High,High,4,Preventive
COA001025,2025-06-14,C00033,16:42,19:22,160,TMS003278,AST005194,86,81.80567169189453,Critical,Critical,5,Corrective
COA001064,2025-06-05,C00097,14:22,16:55,153,TMS004807,AST001755,147,81.65644073486328,Critical,Critical,4,Corrective
COA000797,2025-06-13,C00012,19:54,21:51,117,TMS001745,AST000460,62,81.59739685058594,Critical,Critical,5,Inspection
COA000913,2025-06-02,C00015,19:21,22:11,170,SMMS001521,AST006398,104,81.30418395996094,Critical,Critical,4,Preventive
COA000426,2025-06-20,C00075,03:39,04:21,42,TMS005533,AST004065,42,80.47708129882812,Critical,Critical,5,Preventive
COA000051,2025-06-06,C00095,08:30,10:53,143,TMS001492,AST003829,95,80.15524291992188,Critical,Critical,5,Corrective
COA000056,2025-06-13,C00011,11:43,13:19,96,TMS003440,AST004491,62,79.89630889892578,Critical,Critical,5,Inspection
COA000117,2025-06-27,C00053,05:45,08:22,157,TMS005824,AST003760,144,79.30909729003906,Critical,Critical,5,Corrective
COA001012,2025-06-03,C00092,02:44,05:14,150,TMS001853,AST001052,133,79.2149887084961,Critical,Critical,4,Preventive
COA000240,2025-06-12,C00013,10:23,11:42,79,TMS002705,AST002803,78,78.09130859375,Critical,Critical,5,Preventive
COA001168,2025-06-02,C00001,08:57,10:01,64,TMS000065,AST000013,63,77.89313507080078,Critical,Critical,4,Corrective
COA000666,2025-06-26,C00091,10:23,12:36,133,SMMS000204,AST006460,103,76.96382141113281,High,High,5,Preventive
COA000325,2025-06-28,C00029,17:15,19:47,152,SMMS000389,AST007309,75,76.82542419433594,Critical,Critical,5,Corrective
COA000528,2025-06-07,C00025,12:35,15:01,146,TMS003395,AST001998,98,76.28248596191406,Critical,Critical,4,Inspection
COA001209,2025-06-11,C00055,16:34,19:32,178,SMMS001389,AST006770,158,75.39412689208984,Critical,Critical,5,Preventive
COA000026,2025-06-18,C00093,01:27,03:06,99,TMS004200,AST001098,46,75.21611022949219,Critical,Critical,4,Inspection
COA000511,2025-06-07,C00078,19:33,21:40,127,TMS002085,AST001127,108,74.82841491699219,Critical,Critical,5,Preventive
COA000826,2025-06-20,C00017,03:06,04:23,77,TMS000086,AST000036,53,74.3526382446289,Critical,Critical,4,Inspection
COA001155,2025-06-28,C00088,12:58,15:28,150,TMS005128,AST000791,142,74.0026626586914,High,High,4,Corrective
COA000580,2025-06-08,C00005,09:24,11:20,116,SMMS001502,AST007585,103,73.2059555053711,Critical,Critical,5,Corrective
COA001286,2025-06-21,C00080,15:30,18:18,168,TMS003352,AST002409,106,72.92066955566406,Critical,Critical,5,Preventive
COA000661,2025-06-08,C00082,14:22,15:06,44,TMS001799,AST000034,41,72.79035186767578,High,High,4,Preventive
COA001002,2025-06-22,C00098,00:07,01:27,80,TMS000693,AST004282,65,72.72721099853516,High,High,4,Corrective
COA000200,2025-06-18,C00053,14:42,17:13,151,SMMS000256,AST006829,138,72.57376861572266,High,High,5,Corrective
COA000432,2025-06-25,C00024,12:29,14:50,141,TMS004577,AST004349,137,72.57096862792969,High,High,4,Corrective
COA000340,2025-06-09,C00023,16:16,16:54,38,TMS003565,AST003682,36,72.37390899658203,High,High,4,Preventive
COA000882,2025-06-13,C00001,17:15,19:33,138,TMS003830,AST001666,46,72.2404556274414,Critical,Critical,4,Inspection
COA000618,2025-06-28,C00017,05:32,08:32,180,SMMS000722,AST006324,162,72.1465835571289,High,High,4,Preventive
COA000311,2025-06-30,C00005,02:36,05:20,164,SMMS000489,AST006052,145,71.67794799804688,Critical,Critical,5,Corrective
COA000111,2025-06-29,C00019,09:29,12:05,156,TMS003767,AST003649,154,71.56749725341797,Critical,Critical,5,Corrective
COA000620,2025-06-12,C00013,06:18,08:37,139,TMS002301,AST000452,139,71.52735137939453,High,High,4,Corrective
COA001460,2025-06-05,C00025,12:56,15:49,173,TMS004857,AST003856,138,71.00926971435547,Critical,Critical,3,Corrective
COA000318,2025-06-03,C00009,00:13,02:37,144,TMS003858,AST001694,106,70.98066711425781,Critical,Critical,4,Inspection
COA000957,2025-06-16,C00078,02:17,03:14,57,TMS002170,AST005003,50,70.67496490478516,High,High,4,Inspection
COA000904,2025-06-13,C00053,18:34,21:20,166,TMS005457,AST000311,153,70.11677551269531,Critical,Critical,5,Preventive
COA000650,2025-06-26,C00077,06:39,08:08,89,TMS001059,AST005247,55,70.0226058959961,High,High,4,Inspection
COA000356,2025-06-19,C00033,03:50,06:17,147,TMS002692,AST004260,135,69.61712646484375,High,High,4,Corrective
COA001481,2025-06-13,C00049,09:06,10:39,93,TMS002805,AST001050,82,68.90599822998047,High,High,4,Corrective
COA000784,2025-06-22,C00047,15:40,17:45,125,TMS002009,AST002481,124,68.79742431640625,High,High,4,Corrective
COA000973,2025-06-13,C00063,19:21,22:13,172,TMS000171,AST003865,41,68.7098388671875,Critical,Critical,4,Inspection
COA000636,2025-06-06,C00020,00:14,02:34,140,SMMS000521,AST007106,97,68.6058349609375,Critical,Critical,3,Preventive
COA000991,2025-06-27,C00016,17:18,20:00,162,SMMS001514,AST006472,128,68.39848327636719,Critical,Critical,5,Corrective
COA000104,2025-06-10,C00037,17:39,20:35,176,TMS003965,AST003096,145,68.30370330810547,Critical,Critical,4,Preventive
COA001127,2025-06-20,C00078,12:51,14:56,125,TMS003847,AST004115,88,68.09571838378906,High,High,5,Preventive
COA000722,2025-06-04,C00078,16:28,18:20,112,TMS000005,AST001012,78,67.6893539428711,High,High,5,Preventive
COA000527,2025-06-17,C00086,04:51,07:44,173,TMS002069,AST004774,125,67.68404388427734,Critical,Critical,5,Corrective
COA000157,2025-06-30,C00080,18:39,21:31,172,SMMS001292,AST008165,50,67.5630874633789,Critical,Critical,4,Corrective
COA000855,2025-06-18,C00092,10:54,12:15,81,TMS005132,AST001052,72,67.16132354736328,High,High,3,Preventive
COA000948,2025-06-23,C00003,02:12,04:47,155,TMS000673,AST003211,155,67.15543365478516,High,High,4,Corrective
COA000060,2025-06-17,C00092,08:35,09:44,69,TMS001994,AST001052,59,66.90011596679688,High,High,4,Preventive
COA001044,2025-06-28,C00098,15:38,18:37,179,SMMS000673,AST006229,107,66.3445053100586,Medium,Medium,3,Preventive
COA001331,2025-06-19,C00002,11:08,13:07,119,SMMS001197,AST006916,119,66.34343719482422,High,High,4,Preventive
COA000103,2025-06-23,C00006,09:21,10:46,85,TMS000513,AST000799,83,66.24956512451172,Critical,Critical,4,Corrective
COA001487,2025-06-11,C00093,07:52,10:42,170,TMS003302,AST005156,97,66.01826477050781,High,High,3,Corrective
COA000617,2025-06-19,C00092,11:24,14:06,162,SMMS000404,AST005861,138,65.91727447509766,Critical,Critical,5,Preventive
COA000605,2025-06-03,C00086,06:37,08:59,142,TMS000888,AST000690,116,65.4158706665039,High,High,4,Corrective
COA000587,2025-06-18,C00097,05:17,06:16,59,TMS004452,AST002457,44,65.391845703125,High,High,3,Inspection
COA000289,2025-06-11,C00014,06:15,09:02,167,TMS000648,AST004818,138,65.1375732421875,High,High,4,Corrective
COA001469,2025-06-12,C00077,19:47,21:35,108,SMMS000325,AST005441,103,65.04336547851562,Critical,Critical,5,Corrective
COA000993,2025-06-20,C00085,15:02,17:46,164,TMS003666,AST003445,71,64.79852294921875,High,High,3,Inspection
COA000073,2025-06-16,C00059,06:58,09:24,146,TMS005775,AST002807,101,64.43504333496094,High,High,5,Corrective
COA000693,2025-06-03,C00007,01:29,04:18,169,TMS000495,AST002749,118,64.08495330810547,Critical,Critical,5,Corrective
COA000955,2025-06-29,C00003,08:02,10:41,159,SMMS000658,AST005708,95,64.07014465332031,High,High,4,Preventive
COA001130,2025-06-22,C00097,18:35,21:18,163,SMMS000127,AST006521,128,63.97490692138672,High,High,3,Corrective
COA000645,2025-06-28,C00013,19:03,21:12,129,TMS002314,AST004227,71,63.75917053222656,High,High,3,Corrective
COA001139,2025-06-27,C00088,08:41,10:50,129,TMS003284,AST003554,87,63.57626724243164,High,High,3,Corrective
COA000885,2025-06-07,C00098,14:03,16:20,137,SMMS000591,AST007901,77,63.532981872558594,Critical,Critical,4,Preventive
COA000529,2025-06-05,C00033,00:20,03:02,162,TMS005609,AST003942,99,63.50034713745117,High,High,4,Corrective
COA001000,2025-06-15,C00037,07:22,10:03,161,TMS004133,AST003344,102,63.41973114013672,High,High,5,Corrective
COA000353,2025-06-06,C00023,01:24,03:58,154,SMMS000912,AST006531,104,63.39552307128906,Medium,Medium,3,Corrective
COA001212,2025-06-08,C00029,04:07,06:50,163,TMS005558,AST002562,143,63.243919372558594,High,High,3,Corrective
COA000126,2025-06-16,C00052,01:15,03:13,118,TMS000273,AST004477,69,63.24244689941406,High,High,3,Corrective
COA000551,2025-06-28,C00025,18:46,21:05,139,SMMS000411,AST006891,111,63.234676361083984,High,High,4,Preventive
COA000269,2025-06-28,C00016,11:41,12:46,65,SMMS000999,AST005628,65,63.23378372192383,High,High,5,Corrective
COA001330,2025-06-29,C00007,18:39,21:35,176,TMS004863,AST005200,175,63.18029022216797,High,High,3,Corrective
COA000634,2025-06-29,C00060,06:25,09:19,174,TMS002907,AST004129,134,63.177677154541016,High,High,4,Corrective
COA000691,2025-06-18,C00097,19:15,21:16,121,SMMS000059,AST005728,78,63.03180694580078,Critical,Critical,4,Corrective
COA000390,2025-06-28,C00003,03:26,04:47,81,TMS000021,AST003486,43,62.8548583984375,Critical,Critical,5,Inspection
COA001156,2025-06-12,C00001,01:48,03:31,103,TMS003970,AST002582,68,62.827796936035156,High,High,4,Corrective
COA001123,2025-06-19,C00015,15:05,17:50,165,TMS001748,AST005115,107,62.82112503051758,Medium,Medium,3,Preventive
COA001305,2025-06-03,C00082,05:20,07:33,133,TMS005950,AST002258,94,62.47065734863281,Medium,Medium,3,Preventive
COA000652,2025-06-10,C00094,04:21,06:12,111,SMMS000063,AST005987,87,62.094093322753906,Critical,Critical,3,Corrective
COA000300,2025-06-01,C00100,07:18,08:18,60,TMS004871,AST000415,43,62.04521179199219,High,High,3,Corrective
COA001219,2025-06-05,C00067,16:59,18:33,94,SMMS001351,AST007882,87,61.75059509277344,Medium,Medium,4,Preventive
COA000141,2025-06-01,C00091,14:47,17:04,137,TMS002881,AST001679,92,61.554569244384766,Critical,Critical,4,Corrective
COA001443,2025-06-30,C00052,16:19,17:28,69,TMS001037,AST005270,43,61.374141693115234,High,High,4,Inspection
COA000239,2025-06-22,C00045,11:36,13:24,108,TMS003209,AST002424,108,61.301177978515625,Critical,Critical,4,Corrective
COA000789,2025-06-02,C00053,09:18,11:55,157,TMS000336,AST000853,105,61.18579864501953,Critical,Critical,4,Corrective
COA001496,2025-06-08,C00023,19:20,20:36,76,TMS002590,AST004726,51,61.053253173828125,Critical,Critical,5,Inspection
COA000908,2025-06-01,C00089,07:48,10:42,174,TMS005962,AST005252,108,60.865718841552734,Critical,Critical,4,Corrective
COA000142,2025-06-13,C00039,18:45,20:22,97,TMS005927,AST003595,44,60.78537368774414,Critical,Critical,4,Preventive
COA000990,2025-06-20,C00058,04:07,05:23,76,TMS000672,AST003791,40,60.652252197265625,Critical,Critical,5,Inspection
COA000256,2025-06-05,C00013,13:48,16:43,175,TMS004431,AST001882,128,60.651615142822266,Medium,Medium,4,Preventive
COA000973,2025-06-13,C00063,19:21,22:13,172,TMS003535,AST003702,93,60.632476806640625,High,High,4,Inspection
COA000344,2025-06-07,C00077,04:25,07:22,177,SMMS000263,AST005649,97,60.493751525878906,High,High,4,Corrective
COA000052,2025-06-25,C00020,14:18,15:22,64,SMMS001550,AST008304,46,60.32487106323242,Medium,Medium,3,Corrective
COA000959,2025-06-15,C00098,19:21,20:42,81,TMS004163,AST000974,80,60.138607025146484,High,High,3,Corrective
COA000478,2025-06-24,C00065,14:47,17:02,135,SMMS000674,AST007925,89,60.01978302001953,Medium,Medium,3,Corrective
COA001170,2025-06-11,C00072,12:35,15:27,172,TMS003913,AST005104,153,59.95424270629883,Medium,Medium,3,Preventive
COA000627,2025-06-24,C00024,09:07,10:30,83,TMS002242,AST001046,38,59.953311920166016,Medium,Medium,3,Inspection
COA001387,2025-06-22,C00072,11:02,13:04,122,TMS003722,AST002827,105,59.75829315185547,High,High,3,Preventive
COA000875,2025-06-14,C00032,04:30,05:48,78,TMS000325,AST002478,65,59.70527267456055,Medium,Medium,3,Inspection
COA000791,2025-06-17,C00070,19:07,21:59,172,TMS003898,AST000465,50,59.691192626953125,Medium,Medium,3,Inspection
COA000517,2025-06-28,C00088,19:49,21:55,126,SMMS000019,AST007449,117,59.67974090576172,High,High,4,Corrective
COA000417,2025-06-07,C00027,12:05,14:41,156,TMS005855,AST002925,36,59.65992736816406,Medium,Medium,3,Preventive
COA000437,2025-06-07,C00042,13:15,14:25,70,SMMS000652,AST007856,49,59.613616943359375,High,High,3,Corrective
COA001405,2025-06-02,C00076,19:06,21:56,170,TMS000028,AST001133,110,59.352386474609375,Medium,Medium,3,Preventive
COA001010,2025-06-14,C00079,00:05,02:39,154,SMMS001596,AST005492,64,59.2831916809082,Critical,Critical,5,Corrective
COA000901,2025-06-05,C00057,11:28,13:07,99,TMS004587,AST000090,56,59.20908737182617,High,High,4,Inspection
COA001289,2025-06-09,C00051,09:51,11:25,94,TMS000280,AST000646,91,59.18415451049805,Medium,Medium,3,Preventive
COA000249,2025-06-11,C00055,18:27,21:00,153,TMS001188,AST002472,68,59.123992919921875,Medium,Medium,4,Preventive
COA001295,2025-06-27,C00097,06:51,09:16,145,TMS002025,AST001818,135,59.10942077636719,Medium,Medium,3,Preventive
