block_window_id,block_date,corridor_id,window_start,window_end,available_duration_min,tasks_scheduled,total_task_duration,average_priority,maximum_priority,utilization_pct
COA000001,2025-06-28,C00027,18:27,19:42,75,1,53,58.257930755615234,58.257930755615234,70.66666666666667
COA000009,2025-06-28,C00042,16:31,17:14,43,1,34,31.208309173583984,31.208309173583984,79.06976744186046
COA000012,2025-06-10,C00096,13:23,15:26,123,1,64,30.730571746826172,30.730571746826172,52.03252032520326
COA000013,2025-06-24,C00068,05:15,06:11,56,1,54,35.785240173339844,35.785240173339844,96.42857142857143
COA000015,2025-06-09,C00031,18:04,21:02,178,2,164,46.06463813781738,57.6995849609375,92.13483146067416
COA000016,2025-06-12,C00057,19:40,22:06,146,1,40,84.4769058227539,84.4769058227539,27.397260273972602
COA000017,2025-06-28,C00011,09:59,12:28,149,1,146,32.01193618774414,32.01193618774414,97.98657718120806
COA000020,2025-06-18,C00057,04:00,06:56,176,2,147,48.4121150970459,55.36039733886719,83.52272727272727
COA000021,2025-06-17,C00086,14:38,15:25,47,1,40,56.265625,56.265625,85.1063829787234
COA000026,2025-06-18,C00093,01:27,03:06,99,1,46,75.21611022949219,75.21611022949219,46.464646464646464
COA000027,2025-06-18,C00043,00:03,02:35,152,1,142,41.95737838745117,41.95737838745117,93.42105263157895
COA000028,2025-06-01,C00007,11:09,13:42,153,1,124,32.76945114135742,32.76945114135742,81.04575163398692
COA000031,2025-06-10,C00065,09:06,11:14,128,1,114,40.761417388916016,40.761417388916016,89.0625
COA000038,2025-06-01,C00075,14:03,15:01,58,1,46,37.79122543334961,37.79122543334961,79.3103448275862
COA000039,2025-06-11,C00034,00:40,01:44,64,1,47,29.0541934967041,29.0541934967041,73.4375
COA000040,2025-06-22,C00018,05:19,07:33,134,1,121,34.37557601928711,34.37557601928711,90.29850746268657
COA000043,2025-06-30,C00058,17:45,19:21,96,1,42,37.659584045410156,37.659584045410156,43.75
COA000051,2025-06-06,C00095,08:30,10:53,143,1,95,80.15524291992188,80.15524291992188,66.43356643356644
COA000052,2025-06-25,C00020,14:18,15:22,64,1,46,60.32487106323242,60.32487106323242,71.875
COA000056,2025-06-13,C00011,11:43,13:19,96,1,62,79.89630889892578,79.89630889892578,64.58333333333334
COA000058,2025-06-13,C00081,11:31,12:42,71,1,60,40.09794235229492,40.09794235229492,84.50704225352112
COA000059,2025-06-23,C00089,02:14,04:59,165,1,113,46.5134391784668,46.5134391784668,68.48484848484848
COA000060,2025-06-17,C00092,08:35,09:44,69,1,59,66.90011596679688,66.90011596679688,85.5072463768116
COA000062,2025-06-13,C00088,06:21,08:45,144,1,31,41.05518341064453,41.05518341064453,21.52777777777778
COA000063,2025-06-07,C00085,06:04,08:08,124,1,106,53.43265914916992,53.43265914916992,85.48387096774194
COA000066,2025-06-03,C00001,18:04,19:35,91,1,86,41.69219970703125,41.69219970703125,94.5054945054945
COA000068,2025-06-01,C00023,06:59,09:49,170,1,136,50.8027229309082,50.8027229309082,80.0
COA000069,2025-06-09,C00056,09:19,11:36,137,1,123,31.6851863861084,31.6851863861084,89.78102189781022
COA000071,2025-06-10,C00034,17:18,19:36,138,1,77,48.7859001159668,48.7859001159668,55.79710144927537
COA000073,2025-06-16,C00059,06:58,09:24,146,1,101,64.43504333496094,64.43504333496094,69.17808219178082
COA000074,2025-06-13,C00049,15:28,17:54,146,1,95,57.683082580566406,57.683082580566406,65.06849315068493
COA000076,2025-06-18,C00060,18:11,19:36,85,1,68,48.16926956176758,48.16926956176758,80.0
COA000078,2025-06-20,C00026,13:59,16:26,147,1,114,45.20464324951172,45.20464324951172,77.55102040816327
COA000080,2025-06-05,C00066,18:44,21:21,157,1,99,39.167232513427734,39.167232513427734,63.05732484076433
COA000087,2025-06-28,C00100,01:20,02:47,87,1,78,53.65614318847656,53.65614318847656,89.65517241379311
COA000090,2025-06-15,C00065,11:07,13:28,141,1,128,31.163843154907227,31.163843154907227,90.78014184397163
COA000093,2025-06-10,C00007,05:24,08:16,172,1,145,20.611915588378906,20.611915588378906,84.30232558139535
COA000094,2025-06-12,C00039,00:42,03:32,170,1,51,34.1209831237793,34.1209831237793,30.0
COA000096,2025-06-07,C00034,14:52,16:21,89,1,79,23.969980239868164,23.969980239868164,88.76404494382022
COA000099,2025-06-28,C00060,17:36,18:23,47,1,33,27.808826446533203,27.808826446533203,70.2127659574468
COA000102,2025-06-22,C00040,16:37,18:41,124,1,104,48.13828659057617,48.13828659057617,83.87096774193549
COA000103,2025-06-23,C00006,09:21,10:46,85,1,83,66.24956512451172,66.24956512451172,97.6470588235294
COA000104,2025-06-10,C00037,17:39,20:35,176,1,145,68.30370330810547,68.30370330810547,82.38636363636364
COA000105,2025-06-01,C00007,18:46,20:49,123,1,115,25.33670425415039,25.33670425415039,93.4959349593496
COA000110,2025-06-05,C00062,02:43,05:28,165,2,157,41.15594482421875,56.4355354309082,95.15151515151516
COA000111,2025-06-29,C00019,09:29,12:05,156,1,154,71.56749725341797,71.56749725341797,98.71794871794873
COA000117,2025-06-27,C00053,05:45,08:22,157,1,144,79.30909729003906,79.30909729003906,91.71974522292994
COA000119,2025-06-02,C00003,16:37,19:11,154,1,137,54.33694076538086,54.33694076538086,88.96103896103897
COA000120,2025-06-21,C00084,06:55,07:59,64,1,49,32.527828216552734,32.527828216552734,76.5625
COA000124,2025-06-03,C00081,03:01,05:18,137,1,135,20.74152374267578,20.74152374267578,98.54014598540147
COA000125,2025-06-19,C00079,19:31,21:06,95,1,60,18.972074508666992,18.972074508666992,63.1578947368421
COA000126,2025-06-16,C00052,01:15,03:13,118,2,115,45.85178089141846,63.24244689941406,97.45762711864407
COA000129,2025-06-15,C00058,04:08,05:41,93,1,37,30.52291488647461,30.52291488647461,39.784946236559136
COA000136,2025-06-02,C00023,10:04,11:50,106,1,105,47.60640335083008,47.60640335083008,99.05660377358491
COA000139,2025-06-25,C00093,10:08,11:25,77,1,36,49.29445266723633,49.29445266723633,46.75324675324675
COA000140,2025-06-05,C00048,08:38,11:14,156,1,110,38.55626678466797,38.55626678466797,70.51282051282051
COA000141,2025-06-01,C00091,14:47,17:04,137,1,92,61.554569244384766,61.554569244384766,67.15328467153284
COA000142,2025-06-13,C00039,18:45,20:22,97,1,44,60.78537368774414,60.78537368774414,45.36082474226804
