block_request_id,task_id,asset_id,corridor_id,block_window_id,block_date,start_min,end_min,duration_min,predicted_priority,priority_category,department,possession_required,candidate_id,train_conflicts,total_conflict_duration_min,forecast_date,forecast_goods_trains,peak_period,confidence_pct
BR000002,TMS000003,AST000826,C00078,COA000408,2025-06-21,155,246,91,54.48744583129883,Medium,Engineering,No,0,1,91.0,,0.0,,0.0
BR000004,TMS000005,AST001012,C00078,COA000722,2025-06-04,988,1066,78,67.6893539428711,High,Engineering,Yes,1,0,0.0,2025-06-04,7.0,Normal,85.0
BR000004,TMS000005,AST001012,C00078,COA000722,2025-06-04,988,1066,78,67.6893539428711,High,Engineering,Yes,1,0,0.0,2025-06-04,3.0,Off-Peak,82.0
BR000007,TMS000008,AST004121,C00094,COA001390,2025-06-10,1057,1203,146,43.130348205566406,Medium,Engineering,Yes,2,1,56.0,2025-06-10,3.0,Off-Peak,86.0
BR000007,TMS000008,AST004121,C00094,COA001390,2025-06-10,1057,1203,146,43.130348205566406,Medium,Engineering,Yes,2,1,56.0,2025-06-10,4.0,Off-Peak,76.0
BR000007,TMS000008,AST004121,C00094,COA001390,2025-06-10,1057,1203,146,43.130348205566406,Medium,Engineering,Yes,2,1,56.0,2025-06-10,2.0,Peak,95.0
BR000019,TMS000021,AST003486,C00003,COA000390,2025-06-28,206,249,43,62.8548583984375,High,Engineering,Yes,3,1,14.0,2025-06-28,6.0,Off-Peak,94.0
BR000024,TMS000027,AST003894,C00093,COA000139,2025-06-25,608,644,36,49.29445266723633,Medium,Engineering,Yes,4,1,21.0,,0.0,,0.0
BR000025,TMS000028,AST001133,C00076,COA001405,2025-06-02,1146,1256,110,59.352386474609375,Medium,Engineering,Yes,5,0,0.0,,0.0,,0.0
BR000043,TMS000053,AST004534,C00086,COA000527,2025-06-17,291,420,129,23.9704532623291,Low,Engineering,Yes,6,2,174.0,2025-06-17,6.0,Normal,92.0
BR000044,TMS000055,AST004019,C00066,COA000597,2025-06-25,68,101,33,26.74348258972168,Low,Engineering,Yes,7,0,0.0,2025-06-25,11.0,Normal,70.0
BR000044,TMS000055,AST004019,C00066,COA000597,2025-06-25,68,101,33,26.74348258972168,Low,Engineering,Yes,7,0,0.0,2025-06-25,2.0,Normal,89.0
BR000051,TMS000065,AST000013,C00001,COA001168,2025-06-02,537,600,63,77.89313507080078,High,Engineering,Yes,8,2,84.0,,0.0,,0.0
BR000051,TMS000065,AST000013,C00001,COA001199,2025-06-02,803,866,63,77.89313507080078,High,Engineering,Yes,9,0,0.0,,0.0,,0.0
BR000060,TMS000074,AST001213,C00041,COA000939,2025-06-05,432,517,85,40.71774673461914,Medium,Engineering,No,10,0,0.0,,0.0,,0.0
BR000060,TMS000074,AST001213,C00041,COA001210,2025-06-05,972,1057,85,40.71774673461914,Medium,Engineering,No,11,1,36.0,,0.0,,0.0
BR000062,TMS000076,AST002317,C00046,COA000796,2025-06-15,359,478,119,54.495582580566406,Medium,Engineering,Yes,12,0,0.0,2025-06-15,4.0,Normal,73.0
BR000070,TMS000086,AST000036,C00017,COA000826,2025-06-20,186,239,53,74.3526382446289,High,Engineering,No,13,0,0.0,,0.0,,0.0
BR000081,TMS000098,AST003042,C00006,COA001192,2025-06-01,40,74,34,37.731422424316406,Low,Engineering,No,14,0,0.0,2025-06-01,3.0,Normal,93.0
BR000081,TMS000098,AST003042,C00006,COA001192,2025-06-01,40,74,34,37.731422424316406,Low,Engineering,No,14,0,0.0,2025-06-01,5.0,Peak,94.0
BR000086,TMS000103,AST004028,C00050,COA000530,2025-06-19,196,243,47,30.329280853271484,Low,Engineering,Yes,15,0,0.0,2025-06-19,5.0,Normal,94.0
BR000086,TMS000103,AST004028,C00050,COA000530,2025-06-19,196,243,47,30.329280853271484,Low,Engineering,Yes,15,0,0.0,2025-06-19,11.0,Normal,71.0
BR000086,TMS000103,AST004028,C00050,COA001121,2025-06-19,1043,1090,47,30.329280853271484,Low,Engineering,Yes,16,0,0.0,2025-06-19,5.0,Normal,94.0
BR000086,TMS000103,AST004028,C00050,COA001121,2025-06-19,1043,1090,47,30.329280853271484,Low,Engineering,Yes,16,0,0.0,2025-06-19,11.0,Normal,71.0
BR000089,TMS000106,AST005053,C00077,COA001294,2025-06-01,685,813,128,20.250770568847656,Low,Engineering,Yes,17,1,38.0,2025-06-01,10.0,Normal,89.0
BR000089,TMS000106,AST005053,C00077,COA001294,2025-06-01,685,813,128,20.250770568847656,Low,Engineering,Yes,17,1,38.0,2025-06-01,7.0,Off-Peak,78.0
BR000110,TMS000132,AST003824,C00008,COA001474,2025-06-10,1141,1214,73,27.067981719970703,Low,Engineering,Yes,18,0,0.0,,0.0,,0.0
BR000115,TMS000141,AST001048,C00093,COA001291,2025-06-13,768,842,74,44.86659240722656,Medium,Engineering,Yes,19,0,0.0,2025-06-13,4.0,Off-Peak,81.0
BR000115,TMS000141,AST001048,C00093,COA001499,2025-06-13,610,684,74,44.86659240722656,Medium,Engineering,Yes,20,1,74.0,2025-06-13,4.0,Off-Peak,81.0
BR000125,TMS000153,AST000769,C00085,COA000993,2025-06-20,902,1023,121,20.790023803710938,Low,Engineering,Yes,21,0,0.0,2025-06-20,4.0,Peak,85.0
BR000132,TMS000162,AST001332,C00013,COA001108,2025-06-15,36,158,122,24.421567916870117,Low,Engineering,No,22,0,0.0,2025-06-15,2.0,Off-Peak,93.0
BR000132,TMS000162,AST001332,C00013,COA001108,2025-06-15,36,158,122,24.421567916870117,Low,Engineering,No,22,0,0.0,2025-06-15,3.0,Off-Peak,94.0
BR000132,TMS000162,AST001332,C00013,COA001108,2025-06-15,36,158,122,24.421567916870117,Low,Engineering,No,22,0,0.0,2025-06-15,6.0,Normal,74.0
BR000140,TMS000171,AST003865,C00063,COA000973,2025-06-13,1161,1202,41,68.7098388671875,High,Engineering,No,23,1,41.0,2025-06-13,6.0,Normal,85.0
BR000140,TMS000171,AST003865,C00063,COA000973,2025-06-13,1161,1202,41,68.7098388671875,High,Engineering,No,23,1,41.0,2025-06-13,4.0,Normal,76.0
BR000140,TMS000171,AST003865,C00063,COA000973,2025-06-13,1161,1202,41,68.7098388671875,High,Engineering,No,23,1,41.0,2025-06-13,5.0,Normal,76.0
BR000141,TMS000172,AST002249,C00053,COA001336,2025-06-11,86,158,72,48.97134780883789,Medium,Engineering,Yes,24,0,0.0,2025-06-11,6.0,Peak,81.0
BR000141,TMS000172,AST002249,C00053,COA001336,2025-06-11,86,158,72,48.97134780883789,Medium,Engineering,Yes,24,0,0.0,2025-06-11,7.0,Normal,82.0
BR000141,TMS000172,AST002249,C00053,COA001336,2025-06-11,86,158,72,48.97134780883789,Medium,Engineering,Yes,24,0,0.0,2025-06-11,4.0,Off-Peak,94.0
BR000141,TMS000172,AST002249,C00053,COA001336,2025-06-11,86,158,72,48.97134780883789,Medium,Engineering,Yes,24,0,0.0,2025-06-11,6.0,Normal,83.0
BR000156,TMS000192,AST003593,C00015,COA000231,2025-06-14,336,468,132,26.272706985473633,Low,Engineering,Yes,25,2,143.0,2025-06-14,3.0,Peak,86.0
BR000156,TMS000192,AST003593,C00015,COA000231,2025-06-14,336,468,132,26.272706985473633,Low,Engineering,Yes,25,2,143.0,2025-06-14,3.0,Normal,94.0
BR000156,TMS000192,AST003593,C00015,COA000231,2025-06-14,336,468,132,26.272706985473633,Low,Engineering,Yes,25,2,143.0,2025-06-14,5.0,Normal,78.0
BR000172,TMS000210,AST000269,C00003,COA001023,2025-06-06,41,176,135,52.04310989379883,Medium,Engineering,Yes,26,0,0.0,2025-06-06,4.0,Normal,93.0
BR000172,TMS000210,AST000269,C00003,COA001023,2025-06-06,41,176,135,52.04310989379883,Medium,Engineering,Yes,26,0,0.0,2025-06-06,4.0,Peak,70.0
BR000178,TMS000219,AST004615,C00039,COA000542,2025-06-04,1182,1230,48,26.705039978027344,Low,Engineering,Yes,27,1,48.0,,0.0,,0.0
BR000182,TMS000224,AST001854,C00016,COA001302,2025-06-14,310,470,160,41.191001892089844,Medium,Engineering,No,28,0,0.0,2025-06-14,5.0,Normal,85.0
BR000182,TMS000224,AST001854,C00016,COA001302,2025-06-14,310,470,160,41.191001892089844,Medium,Engineering,No,28,0,0.0,2025-06-14,6.0,Peak,90.0
BR000189,TMS000235,AST003191,C00016,COA000991,2025-06-27,1038,1090,52,34.15465545654297,Low,Engineering,Yes,29,1,52.0,2025-06-27,5.0,Off-Peak,79.0
BR000194,TMS000242,AST001537,C00040,COA000102,2025-06-22,997,1101,104,48.13828659057617,Medium,Engineering,Yes,30,0,0.0,,0.0,,0.0
BR000197,TMS000245,AST000951,C00003,COA000185,2025-06-14,807,880,73,41.93967819213867,Medium,Engineering,Yes,31,0,0.0,,0.0,,0.0
BR000201,TMS000250,AST000688,C00049,COA000074,2025-06-13,928,1023,95,57.683082580566406,Medium,Engineering,Yes,32,1,95.0,2025-06-13,7.0,Off-Peak,71.0
BR000201,TMS000250,AST000688,C00049,COA000074,2025-06-13,928,1023,95,57.683082580566406,Medium,Engineering,Yes,32,1,95.0,2025-06-13,6.0,Off-Peak,81.0
BR000205,TMS000255,AST003583,C00030,COA001464,2025-06-28,882,977,95,55.71949768066406,Medium,Engineering,Yes,33,1,86.0,2025-06-28,5.0,Peak,82.0
BR000207,TMS000257,AST005137,C00007,COA000525,2025-06-28,589,672,83,38.60211181640625,Low,Engineering,Yes,34,0,0.0,,0.0,,0.0
BR000221,TMS000273,AST004477,C00052,COA000126,2025-06-16,75,144,69,63.24244689941406,High,Engineering,Yes,35,0,0.0,2025-06-16,4.0,Normal,81.0
BR000221,TMS000273,AST004477,C00052,COA000126,2025-06-16,75,144,69,63.24244689941406,High,Engineering,Yes,35,0,0.0,2025-06-16,2.0,Normal,92.0
BR000221,TMS000273,AST004477,C00052,COA000126,2025-06-16,75,144,69,63.24244689941406,High,Engineering,Yes,35,0,0.0,2025-06-16,2.0,Peak,77.0
BR000221,TMS000273,AST004477,C00052,COA000126,2025-06-16,75,144,69,63.24244689941406,High,Engineering,Yes,35,0,0.0,2025-06-16,5.0,Normal,87.0
