candidate_id,block_request_id,task_id,block_window_id,corridor_id,train_no,movement_id,movement_type,movement_start,movement_end,conflict_buffer_min,conflict_duration_min
0,BR000002,TMS000003,COA000408,C00078,56202,MW009728,Train Movement,00:56,04:11,11,91
2,BR000007,TMS000008,COA001390,C00094,14894,MW004191,Train Movement,19:16,22:09,9,56
3,BR000019,TMS000021,COA000390,C00003,57042,MW010012,Train Movement,04:09,06:20,14,14
4,BR000024,TMS000027,COA000139,C00093,65891,MW011329,Train Movement,10:31,12:39,8,21
6,BR000043,TMS000053,COA000527,C00086,13394,MW001893,Train Movement,06:22,09:21,12,50
6,BR000043,TMS000053,COA000527,C00086,54538,MW009263,Train Movement,05:09,10:42,13,124
8,BR000051,TMS000065,COA001168,C00001,16325,MW006352,Train Movement,04:25,10:52,12,63
8,BR000051,TMS000065,COA001168,C00001,16967,MW007322,Train Movement,02:34,09:09,9,21
11,BR000060,TMS000074,COA001210,C00041,92728,MW013936,Train Movement,17:16,18:40,15,36
17,BR000089,TMS000106,COA001294,C00077,66317,MW011449,Train Movement,10:14,11:56,7,38
20,BR000115,TMS000141,COA001499,C00093,14809,MW004085,Train Movement,10:16,11:39,11,74
23,BR000140,TMS000171,COA000973,C00063,95518,MW014416,Train Movement,17:34,22:02,12,41
25,BR000156,TMS000192,COA000231,C00015,14789,MW004042,Train Movement,07:43,10:26,6,11
25,BR000156,TMS000192,COA000231,C00015,75196,MW012593,Train Movement,04:05,08:39,11,132
27,BR000178,TMS000219,COA000542,C00039,50904,MW008025,Train Movement,19:41,20:37,7,48
29,BR000189,TMS000235,COA000991,C00016,98818,MW014890,Train Movement,17:28,20:05,15,52
32,BR000201,TMS000250,COA000074,C00049,59963,MW010951,Train Movement,14:47,17:25,12,95
33,BR000205,TMS000255,COA001464,C00030,52390,MW008465,Train Movement,13:07,16:00,8,86
36,BR000221,TMS000273,COA001399,C00052,15082,MW004434,Train Movement,14:22,17:32,11,35
38,BR000225,TMS000277,COA001426,C00081,66447,MW011466,Train Movement,14:30,16:26,12,45
41,BR000228,TMS000280,COA001289,C00051,57689,MW010197,Train Movement,09:26,11:01,5,75
41,BR000228,TMS000280,COA001289,C00051,79255,MW013252,Train Movement,09:19,10:50,13,72
42,BR000230,TMS000282,COA001030,C00020,68318,MW012066,Train Movement,14:48,16:54,12,42
44,BR000249,TMS000306,COA000898,C00002,13057,MW001456,Train Movement,02:19,03:39,10,33
46,BR000264,TMS000325,COA000875,C00032,51731,MW008236,Train Movement,04:21,05:01,9,40
47,BR000264,TMS000325,COA000920,C00032,13838,MW002679,Train Movement,03:20,03:46,14,42
47,BR000264,TMS000325,COA000920,C00032,51731,MW008236,Train Movement,04:21,05:01,9,11
48,BR000274,TMS000336,COA000789,C00053,12042,MW000059,Train Movement,09:16,10:46,10,98
49,BR000289,TMS000360,COA001317,C00091,12036,MW000049,Train Movement,05:07,07:49,7,66
49,BR000289,TMS000360,COA001317,C00091,15213,MW004709,Train Movement,02:28,05:55,10,73
51,BR000308,TMS000382,COA000458,C00058,67064,MW011635,Train Movement,02:58,04:43,8,38
52,BR000308,TMS000382,COA000990,C00058,67064,MW011635,Train Movement,02:58,04:43,8,40
53,BR000325,TMS000407,COA001422,C00095,12025,MW000033,Train Movement,04:43,05:57,15,104
53,BR000325,TMS000407,COA001422,C00095,98376,MW014806,Train Movement,04:33,07:48,5,106
54,BR000326,TMS000411,COA000120,C00084,16185,MW006105,Train Movement,02:20,06:57,8,10
55,BR000328,TMS000413,COA000338,C00005,55667,MW009547,Train Movement,15:39,18:32,6,49
58,BR000339,TMS000427,COA000444,C00080,50672,MW007947,Train Movement,03:43,05:32,12,7
58,BR000339,TMS000427,COA000444,C00080,69560,MW012420,Train Movement,01:06,03:00,8,130
60,BR000367,TMS000464,COA001141,C00077,14864,MW004154,Train Movement,06:52,07:59,13,48
60,BR000367,TMS000464,COA001141,C00077,16225,MW006148,Train Movement,07:32,08:37,6,40
61,BR000367,TMS000464,COA001255,C00077,14864,MW004154,Train Movement,06:52,07:59,13,39
63,BR000391,TMS000495,COA000693,C00007,95846,MW014465,Train Movement,02:20,08:05,7,74
66,BR000407,TMS000513,COA000586,C00006,65636,MW011221,Train Movement,16:18,16:47,7,21
68,BR000423,TMS000534,COA001077,C00058,54849,MW009357,Train Movement,09:00,10:41,12,47
68,BR000423,TMS000534,COA001077,C00058,93619,MW014127,Train Movement,07:58,10:33,13,40
74,BR000470,TMS000597,COA000715,C00053,17972,MW007734,Train Movement,12:56,14:24,12,2
76,BR000498,TMS000632,COA000405,C00043,67608,MW011860,Train Movement,09:00,09:32,10,49
77,BR000512,TMS000648,COA000289,C00014,79342,MW013305,Train Movement,06:33,09:09,14,134
78,BR000520,TMS000658,COA000056,C00011,14502,MW003593,Train Movement,07:52,12:26,14,57
78,BR000520,TMS000658,COA000056,C00011,14741,MW003955,Train Movement,07:35,12:15,5,37
79,BR000520,TMS000658,COA000909,C00011,14502,MW003593,Train Movement,07:52,12:26,14,95
79,BR000520,TMS000658,COA000909,C00011,14741,MW003955,Train Movement,07:35,12:15,5,95
82,BR000530,TMS000672,COA000458,C00058,67064,MW011635,Train Movement,02:58,04:43,8,38
83,BR000530,TMS000672,COA000990,C00058,67064,MW011635,Train Movement,02:58,04:43,8,40
85,BR000535,TMS000678,COA000430,C00049,51864,MW008313,Train Movement,11:05,13:44,5,21
86,BR000536,TMS000679,COA001242,C00019,12190,MW000284,Train Movement,18:45,20:37,10,34
88,BR000544,TMS000687,COA000584,C00047,54482,MW009234,Train Movement,07:35,09:02,11,61
88,BR000544,TMS000687,COA000584,C00047,92590,MW013917,Train Movement,05:10,07:18,11,109
89,BR000548,TMS000693,COA001002,C00098,13088,MW001504,Train Movement,00:14,00:21,12,26
92,BR000628,TMS000809,COA000586,C00006,65636,MW011221,Train Movement,16:18,16:47,7,21
93,BR000629,TMS000810,COA000572,C00076,55852,MW009635,Train Movement,01:25,04:47,14,81
94,BR000631,TMS000813,COA000690,C00011,13985,MW002892,Train Movement,12:15,16:03,13,44
94,BR000631,TMS000813,COA000690,C00011,16297,MW006312,Train Movement,14:01,18:38,12,98
94,BR000631,TMS000813,COA000690,C00011,67363,MW011737,Train Movement,08:20,15:40,14,22
94,BR000631,TMS000813,COA000690,C00011,79032,MW013209,Train Movement,09:36,17:26,7,98
94,BR000631,TMS000813,COA000690,C00011,79771,MW013369,Train Movement,07:33,15:21,12,1
97,BR000638,TMS000823,COA000080,C00066,12336,MW000470,Train Movement,18:55,19:42,7,61
97,BR000638,TMS000823,COA000080,C00066,16241,MW006189,Train Movement,19:58,20:58,14,88
101,BR000690,TMS000885,COA000028,C00007,55499,MW009506,Train Movement,07:09,11:36,7,34
101,BR000690,TMS000885,COA000028,C00007,65901,MW011339,Train Movement,09:37,14:19,11,115
101,BR000690,TMS000885,COA000028,C00007,66780,MW011570,Train Movement,11:11,15:52,14,115
102,BR000690,TMS000885,COA000105,C00007,51864,MW008311,Train Movement,19:15,23:41,8,94
102,BR000690,TMS000885,COA000105,C00007,59654,MW010859,Train Movement,14:59,19:18,15,47
104,BR000709,TMS000914,COA000189,C00041,15930,MW005818,Train Movement,04:18,04:57,5,49
105,BR000723,TMS000934,COA000177,C00040,55588,MW009510,Train Movement,07:00,09:28,13,10
106,BR000729,TMS000942,COA000739,C00080,12504,MW000716,Train Movement,02:11,03:08,8,50
106,BR000729,TMS000942,COA000739,C00080,13676,MW002358,Train Movement,02:50,03:50,8,11
106,BR000729,TMS000942,COA000739,C00080,55017,MW009378,Train Movement,02:06,03:56,12,59
107,BR000732,TMS000945,COA000844,C00072,13707,MW002412,Train Movement,07:27,08:49,10,22
107,BR000732,TMS000945,COA000844,C00072,55385,MW009461,Train Movement,05:31,08:09,6,62
108,BR000739,TMS000955,COA000192,C00024,15148,MW004570,Train Movement,00:47,02:20,15,100
109,BR000771,TMS001000,COA000063,C00085,14451,MW003505,Train Movement,04:19,07:57,9,106
109,BR000771,TMS001000,COA000063,C00085,15827,MW005662,Train Movement,03:15,06:57,13,66
109,BR000771,TMS001000,COA000063,C00085,59514,MW010800,Train Movement,01:01,06:26,9,31
109,BR000771,TMS001000,COA000063,C00085,69909,MW012539,Train Movement,07:24,13:15,6,32
111,BR000783,TMS001014,COA001393,C00068,50174,MW007807,Train Movement,08:48,12:09,7,31
112,BR000800,TMS001037,COA001338,C00052,16048,MW005940,Train Movement,07:57,11:04,9,43
113,BR000800,TMS001037,COA001443,C00052,14396,MW003454,Train Movement,14:37,17:46,11,43
113,BR000800,TMS001037,COA001443,C00052,16278,MW006244,Train Movement,15:32,18:33,15,43
116,BR000814,TMS001059,COA000049,C00077,13247,MW001746,Train Movement,01:35,02:29,5,53
116,BR000814,TMS001059,COA000049,C00077,15927,MW005813,Train Movement,01:06,02:08,6,46
116,BR000814,TMS001059,COA000049,C00077,53252,MW008790,Train Movement,01:43,03:22,9,49
118,BR000826,TMS001072,COA000584,C00047,54482,MW009234,Train Movement,07:35,09:02,11,23
118,BR000826,TMS001072,COA000584,C00047,92590,MW013917,Train Movement,05:10,07:18,11,109
119,BR000828,TMS001074,COA000898,C00002,13057,MW001456,Train Movement,02:19,03:39,10,33
120,BR000848,TMS001098,COA001200,C00030,54482,MW009230,Train Movement,16:26,19:13,10,57
