block_request_id,task_id,asset_id,department,corridor_id,block_window_id,recommended_date,predicted_priority,priority_category,recommended_start,recommended_end,recommended_duration_min,train_conflict_count,conflict_duration_min,forecast_goods_trains,feasibility,reason_for_recommendation
BR000004,TMS000005,AST001012,Engineering,C00078,COA000722,2025-06-04,67.6893539428711,High,16:28,17:46,78,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000025,TMS000028,AST001133,Engineering,C00076,COA001405,2025-06-02,59.352386474609375,Medium,19:06,20:56,110,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000044,TMS000055,AST004019,Engineering,C00066,COA000597,2025-06-25,26.74348258972168,Low,01:08,01:41,33,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000051,TMS000065,AST000013,Engineering,C00001,COA001199,2025-06-02,77.89313507080078,High,13:23,14:26,63,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000062,TMS000076,AST002317,Engineering,C00046,COA000796,2025-06-15,54.495582580566406,Medium,05:59,07:58,119,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000070,TMS000086,AST000036,Engineering,C00017,COA000826,2025-06-20,74.3526382446289,High,03:06,03:59,53,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000081,TMS000098,AST003042,Engineering,C00006,COA001192,2025-06-01,37.731422424316406,Low,00:40,01:14,34,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000086,TMS000103,AST004028,Engineering,C00050,COA001121,2025-06-19,30.329280853271484,Low,17:23,18:10,47,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000110,TMS000132,AST003824,Engineering,C00008,COA001474,2025-06-10,27.067981719970703,Low,19:01,20:14,73,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000115,TMS000141,AST001048,Engineering,C00093,COA001291,2025-06-13,44.86659240722656,Medium,12:48,14:02,74,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000132,TMS000162,AST001332,Engineering,C00013,COA001108,2025-06-15,24.421567916870117,Low,00:36,02:38,122,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000141,TMS000172,AST002249,Engineering,C00053,COA001336,2025-06-11,48.97134780883789,Medium,01:26,02:38,72,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000172,TMS000210,AST000269,Engineering,C00003,COA001023,2025-06-06,52.04310989379883,Medium,00:41,02:56,135,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000182,TMS000224,AST001854,Engineering,C00016,COA001302,2025-06-14,41.191001892089844,Medium,05:10,07:50,160,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000194,TMS000242,AST001537,Engineering,C00040,COA000102,2025-06-22,48.13828659057617,Medium,16:37,18:21,104,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000197,TMS000245,AST000951,Engineering,C00003,COA000185,2025-06-14,41.93967819213867,Medium,13:27,14:40,73,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000221,TMS000273,AST004477,Engineering,C00052,COA000126,2025-06-16,63.24244689941406,High,01:15,02:24,69,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000223,TMS000275,AST001732,Engineering,C00049,COA001043,2025-06-25,32.53102493286133,Low,00:20,00:54,34,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000227,TMS000279,AST002253,Engineering,C00034,COA000039,2025-06-11,29.0541934967041,Low,00:40,01:27,47,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
