block_request_id,task_id,asset_id,department,corridor_id,predicted_priority,priority_category,requested_duration_min,recommended_date,recommended_start,recommended_end,recommended_duration_min,train_conflict_count,conflict_duration_min,forecast_goods_trains,affected_trains,feasibility,request_status,reason_for_recommendation
BR000004,TMS000005,AST001012,Engineering,C00078,67.6893539428711,High,,2025-06-04,16:28,17:46,78,0,0.0,3.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 78 min block
BR000025,TMS000028,AST001133,Engineering,C00076,59.352386474609375,Medium,,2025-06-02,19:06,20:56,110,0,0.0,0.0,"16325, 16967",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 110 min block
BR000044,TMS000055,AST004019,Engineering,C00066,26.74348258972168,Low,,2025-06-25,01:08,01:41,33,0,0.0,2.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 33 min block
BR000051,TMS000065,AST000013,Engineering,C00001,77.89313507080078,High,,2025-06-02,13:23,14:26,63,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 63 min block
BR000062,TMS000076,AST002317,Engineering,C00046,54.495582580566406,Medium,,2025-06-15,05:59,07:58,119,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 119 min block
BR000070,TMS000086,AST000036,Engineering,C00017,74.3526382446289,High,,2025-06-20,03:06,03:59,53,0,0.0,0.0,66317,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 53 min block
BR000081,TMS000098,AST003042,Engineering,C00006,37.731422424316406,Low,,2025-06-01,00:40,01:14,34,0,0.0,3.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 34 min block
BR000086,TMS000103,AST004028,Engineering,C00050,30.329280853271484,Low,,2025-06-19,17:23,18:10,47,0,0.0,5.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 47 min block
BR000110,TMS000132,AST003824,Engineering,C00008,27.067981719970703,Low,,2025-06-10,19:01,20:14,73,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 73 min block
BR000115,TMS000141,AST001048,Engineering,C00093,44.86659240722656,Medium,,2025-06-13,12:48,14:02,74,0,0.0,4.0,50904,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 74 min block
BR000132,TMS000162,AST001332,Engineering,C00013,24.421567916870117,Low,,2025-06-15,00:36,02:38,122,0,0.0,2.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 122 min block
BR000141,TMS000172,AST002249,Engineering,C00053,48.97134780883789,Medium,,2025-06-11,01:26,02:38,72,0,0.0,4.0,15082,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 72 min block
BR000172,TMS000210,AST000269,Engineering,C00003,52.04310989379883,Medium,,2025-06-06,00:41,02:56,135,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 135 min block
BR000182,TMS000224,AST001854,Engineering,C00016,41.191001892089844,Medium,,2025-06-14,05:10,07:50,160,0,0.0,5.0,51731,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 160 min block
BR000194,TMS000242,AST001537,Engineering,C00040,48.13828659057617,Medium,,2025-06-22,16:37,18:21,104,0,0.0,0.0,"12036, 15213",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 104 min block
BR000197,TMS000245,AST000951,Engineering,C00003,41.93967819213867,Medium,,2025-06-14,13:27,14:40,73,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 73 min block
BR000221,TMS000273,AST004477,Engineering,C00052,63.24244689941406,High,,2025-06-16,01:15,02:24,69,0,0.0,2.0,55667,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 69 min block
BR000223,TMS000275,AST001732,Engineering,C00049,32.53102493286133,Low,,2025-06-25,00:20,00:54,34,0,0.0,3.0,95846,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 34 min block
BR000227,TMS000279,AST002253,Engineering,C00034,29.0541934967041,Low,,2025-06-11,00:40,01:27,47,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 47 min block
BR000249,TMS000306,AST001532,Engineering,C00002,52.46213150024414,Medium,,2025-06-26,01:12,02:00,48,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 48 min block
BR000259,TMS000319,AST004348,Engineering,C00039,35.69047164916992,Low,,2025-06-14,06:06,07:50,104,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 104 min block
BR000304,TMS000376,AST003204,Engineering,C00037,47.81586837768555,Medium,,2025-06-06,11:49,12:45,56,0,0.0,2.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 56 min block
BR000335,TMS000422,AST004554,Engineering,C00078,29.119583129882812,Low,,2025-06-05,03:28,04:44,76,0,0.0,3.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 76 min block
BR000336,TMS000423,AST003516,Engineering,C00055,36.672454833984375,Low,,2025-06-28,03:12,04:01,49,0,0.0,0.0,"13985, 16297, 67363, 79032, 79771",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 49 min block
BR000341,TMS000430,AST002929,Engineering,C00100,47.35833740234375,Medium,,2025-06-18,00:01,01:06,65,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 65 min block
BR000372,TMS000470,AST002160,Engineering,C00018,53.39499282836914,Medium,,2025-06-23,13:35,15:25,110,0,0.0,5.0,"55499, 65901, 66780",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 110 min block
