block_window_id,corridor_id,block_date,window_start,window_end,available_duration_min,availability_status,source
COA-00001,COR-091,2026-09-24,15:00,17:00,120,Blocked for Track Machine,AI Predicted Margin
COA-00002,COR-001,2026-09-10,01:00,05:00,240,Reserved,COA System Feed
COA-00003,COR-072,2026-09-22,13:00,17:00,240,Reserved,COA System Feed
COA-00004,COR-011,2026-09-29,20:00,23:00,180,Occupied by Freight,AI Predicted Margin
COA-00005,COR-084,2026-09-26,11:00,13:00,120,Reserved,AI Predicted Margin
COA-00006,COR-030,2026-09-13,13:00,15:00,120,Available,COA System Feed
COA-00007,COR-086,2026-09-18,10:00,14:00,240,Reserved,Division Manual Entry
COA-00008,COR-061,2026-09-24,16:00,19:00,180,Occupied by Freight,Division Manual Entry
COA-00009,COR-061,2026-09-18,10:00,12:00,120,Available,AI Predicted Margin
COA-00010,COR-084,2026-09-11,10:00,14:00,240,Occupied by Freight,Division Manual Entry
COA-00011,COR-018,2026-09-18,11:00,14:00,180,Occupied by Freight,AI Predicted Margin
COA-00012,COR-060,2026-09-11,18:00,22:00,240,Available,AI Predicted Margin
COA-00013,COR-011,2026-09-17,00:00,02:00,120,Reserved,AI Predicted Margin
COA-00014,COR-050,2026-09-11,01:00,05:00,240,Occupied by Freight,AI Predicted Margin
COA-00015,COR-078,2026-09-27,13:00,16:00,180,Occupied by Freight,AI Predicted Margin
COA-00016,COR-008,2026-09-14,02:00,05:00,180,Reserved,COA System Feed
COA-00017,COR-046,2026-09-22,13:00,15:00,120,Available,Division Manual Entry
COA-00018,COR-096,2026-09-16,03:00,06:00,180,Available,COA System Feed
COA-00019,COR-034,2026-09-10,11:00,15:00,240,Reserved,Division Manual Entry
COA-00020,COR-074,2026-09-21,05:00,09:00,240,Blocked for Track Machine,Division Manual Entry
COA-00021,COR-083,2026-09-21,10:00,14:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00022,COR-079,2026-09-12,15:00,17:00,120,Reserved,COA System Feed
COA-00023,COR-065,2026-09-24,16:00,18:00,120,Blocked for Track Machine,Division Manual Entry
COA-00024,COR-094,2026-09-16,05:00,08:00,180,Reserved,Division Manual Entry
COA-00025,COR-032,2026-09-19,18:00,20:00,120,Available,COA System Feed
COA-00026,COR-096,2026-09-27,03:00,05:00,120,Available,COA System Feed
COA-00027,COR-088,2026-09-24,02:00,05:00,180,Occupied by Freight,AI Predicted Margin
COA-00028,COR-070,2026-09-26,12:00,15:00,180,Occupied by Freight,AI Predicted Margin
COA-00029,COR-033,2026-09-12,14:00,17:00,180,Reserved,Division Manual Entry
COA-00030,COR-061,2026-09-22,19:00,22:00,180,Reserved,Division Manual Entry
COA-00031,COR-098,2026-09-23,07:00,11:00,240,Blocked for Track Machine,COA System Feed
COA-00032,COR-100,2026-09-14,18:00,21:00,180,Occupied by Freight,COA System Feed
COA-00033,COR-014,2026-09-19,05:00,07:00,120,Reserved,AI Predicted Margin
COA-00034,COR-001,2026-09-23,20:00,22:00,120,Occupied by Freight,Division Manual Entry
COA-00035,COR-098,2026-09-20,20:00,22:00,120,Reserved,COA System Feed
COA-00036,COR-024,2026-09-25,19:00,21:00,120,Occupied by Freight,COA System Feed
COA-00037,COR-100,2026-09-25,19:00,23:00,240,Available,COA System Feed
COA-00038,COR-013,2026-09-11,09:00,13:00,240,Available,Division Manual Entry
COA-00039,COR-030,2026-09-24,17:00,19:00,120,Blocked for Track Machine,AI Predicted Margin
COA-00040,COR-035,2026-09-14,09:00,13:00,240,Reserved,COA System Feed
COA-00041,COR-038,2026-09-11,12:00,16:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00042,COR-067,2026-09-25,15:00,18:00,180,Occupied by Freight,Division Manual Entry
COA-00043,COR-035,2026-09-23,15:00,18:00,180,Available,COA System Feed
COA-00044,COR-080,2026-09-12,00:00,03:00,180,Occupied by Freight,AI Predicted Margin
COA-00045,COR-080,2026-09-28,09:00,13:00,240,Available,AI Predicted Margin
COA-00046,COR-035,2026-09-10,09:00,13:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00047,COR-022,2026-09-25,02:00,05:00,180,Reserved,COA System Feed
COA-00048,COR-087,2026-09-16,16:00,20:00,240,Blocked for Track Machine,COA System Feed
COA-00049,COR-080,2026-09-29,18:00,22:00,240,Reserved,COA System Feed
COA-00050,COR-077,2026-09-21,12:00,15:00,180,Available,Division Manual Entry
COA-00051,COR-098,2026-09-26,02:00,06:00,240,Blocked for Track Machine,COA System Feed
COA-00052,COR-037,2026-09-10,06:00,10:00,240,Occupied by Freight,COA System Feed
COA-00053,COR-039,2026-09-27,11:00,15:00,240,Reserved,AI Predicted Margin
COA-00054,COR-024,2026-09-10,12:00,15:00,180,Occupied by Freight,AI Predicted Margin
COA-00055,COR-040,2026-09-14,04:00,07:00,180,Available,COA System Feed
COA-00056,COR-051,2026-09-11,01:00,03:00,120,Available,AI Predicted Margin
COA-00057,COR-083,2026-09-19,12:00,15:00,180,Reserved,COA System Feed
COA-00058,COR-033,2026-09-11,14:00,16:00,120,Reserved,COA System Feed
COA-00059,COR-064,2026-09-11,05:00,07:00,120,Blocked for Track Machine,Division Manual Entry
COA-00060,COR-069,2026-09-29,15:00,18:00,180,Blocked for Track Machine,COA System Feed
COA-00061,COR-037,2026-09-25,13:00,16:00,180,Blocked for Track Machine,Division Manual Entry
COA-00062,COR-079,2026-09-19,11:00,14:00,180,Reserved,AI Predicted Margin
