historical_plan_id,block_request_id,corridor_id,planned_date,planned_start_time,planned_duration_min,planning_method,conflict_count,utilization_pct,status
HIST-00001,BLK-00001,COR-044,2026-09-09,21:00,360,AI Optimization Engine,0,94.3,Executed Cleanly
HIST-00002,BLK-00002,COR-073,2026-09-25,23:45,360,Manual Rule-Based,8,73.7,Cancelled
HIST-00003,BLK-00003,COR-057,2026-09-12,06:30,120,Manual Rule-Based,7,73.2,Cancelled
HIST-00004,BLK-00004,COR-085,2026-09-17,11:45,240,AI Optimization Engine,0,92.9,Executed Cleanly
HIST-00005,BLK-00005,COR-037,2026-09-10,03:00,300,AI Optimization Engine,1,85.7,Partial Conflict
HIST-00006,BLK-00006,COR-083,2026-09-27,18:45,300,AI Optimization Engine,0,92.2,Executed Cleanly
HIST-00007,BLK-00007,COR-060,2026-09-23,23:00,120,AI Optimization Engine,1,96.9,Partial Conflict
HIST-00008,BLK-00008,COR-004,2026-09-18,03:30,180,Manual Rule-Based,3,73.2,Partial Conflict
HIST-00009,BLK-00009,COR-024,2026-09-28,10:15,360,AI Optimization Engine,1,90.0,Partial Conflict
HIST-00010,BLK-00010,COR-089,2026-09-26,21:45,360,Manual Rule-Based,6,60.2,Cancelled
HIST-00011,BLK-00011,COR-066,2026-09-15,13:00,240,AI Optimization Engine,0,90.3,Executed Cleanly
HIST-00012,BLK-00012,COR-027,2026-09-21,18:45,120,AI Optimization Engine,0,92.0,Executed Cleanly
HIST-00013,BLK-00013,COR-071,2026-09-09,21:00,240,AI Optimization Engine,1,91.4,Partial Conflict
HIST-00014,BLK-00014,COR-062,2026-09-28,16:00,120,AI Optimization Engine,0,91.5,Executed Cleanly
HIST-00015,BLK-00015,COR-037,2026-09-11,11:30,180,AI Optimization Engine,1,93.5,Partial Conflict
HIST-00016,BLK-00016,COR-059,2026-09-10,21:15,360,AI Optimization Engine,1,97.1,Partial Conflict
HIST-00017,BLK-00017,COR-064,2026-09-14,21:30,300,Manual Rule-Based,4,63.6,Cancelled
HIST-00018,BLK-00018,COR-084,2026-09-11,11:00,60,Manual Rule-Based,4,69.5,Cancelled
HIST-00019,BLK-00019,COR-081,2026-09-24,10:45,120,Manual Rule-Based,3,62.6,Partial Conflict
HIST-00020,BLK-00020,COR-057,2026-09-11,01:45,360,AI Optimization Engine,0,97.0,Executed Cleanly
HIST-00021,BLK-00021,COR-068,2026-09-11,23:00,60,Manual Rule-Based,6,74.8,Cancelled
HIST-00022,BLK-00022,COR-060,2026-09-26,08:30,300,Manual Rule-Based,5,66.8,Cancelled
HIST-00023,BLK-00023,COR-082,2026-09-17,10:15,180,AI Optimization Engine,1,88.6,Partial Conflict
HIST-00024,BLK-00024,COR-090,2026-09-21,10:45,360,Manual Rule-Based,5,72.8,Cancelled
HIST-00025,BLK-00025,COR-029,2026-09-25,14:15,60,Manual Rule-Based,4,69.3,Cancelled
HIST-00026,BLK-00026,COR-012,2026-09-09,20:15,120,Manual Rule-Based,8,69.1,Cancelled
HIST-00027,BLK-00027,COR-038,2026-09-09,09:15,300,AI Optimization Engine,0,89.2,Executed Cleanly
HIST-00028,BLK-00028,COR-051,2026-09-16,13:00,180,AI Optimization Engine,0,96.0,Executed Cleanly
HIST-00029,BLK-00029,COR-004,2026-09-19,15:30,180,AI Optimization Engine,1,95.1,Partial Conflict
HIST-00030,BLK-00030,COR-006,2026-09-26,11:45,60,Manual Rule-Based,6,61.4,Cancelled
HIST-00031,BLK-00031,COR-054,2026-09-22,14:30,360,Manual Rule-Based,3,74.6,Partial Conflict
HIST-00032,BLK-00032,COR-031,2026-09-11,16:00,240,AI Optimization Engine,1,85.8,Partial Conflict
HIST-00033,BLK-00033,COR-012,2026-09-25,07:00,120,AI Optimization Engine,0,92.3,Executed Cleanly
HIST-00034,BLK-00034,COR-076,2026-09-15,00:00,240,Manual Rule-Based,8,72.3,Cancelled
HIST-00035,BLK-00035,COR-015,2026-09-24,16:15,60,Manual Rule-Based,7,68.2,Cancelled
HIST-00036,BLK-00036,COR-017,2026-09-13,09:15,240,AI Optimization Engine,1,89.2,Partial Conflict
HIST-00037,BLK-00037,COR-094,2026-09-17,17:00,120,Manual Rule-Based,8,72.6,Cancelled
HIST-00038,BLK-00038,COR-092,2026-09-19,03:30,240,AI Optimization Engine,1,96.4,Partial Conflict
HIST-00039,BLK-00039,COR-077,2026-09-15,05:30,360,AI Optimization Engine,0,88.5,Executed Cleanly
HIST-00040,BLK-00040,COR-053,2026-09-22,07:15,300,AI Optimization Engine,1,86.0,Partial Conflict
HIST-00041,BLK-00041,COR-009,2026-09-28,09:45,120,Manual Rule-Based,7,62.5,Cancelled
HIST-00042,BLK-00042,COR-053,2026-09-23,11:00,120,Manual Rule-Based,5,68.6,Cancelled
HIST-00043,BLK-00043,COR-085,2026-09-18,12:45,360,AI Optimization Engine,1,88.3,Partial Conflict
HIST-00044,BLK-00044,COR-004,2026-09-09,06:15,360,AI Optimization Engine,1,88.9,Partial Conflict
HIST-00045,BLK-00045,COR-012,2026-09-22,05:15,180,AI Optimization Engine,1,96.3,Partial Conflict
HIST-00046,BLK-00046,COR-020,2026-09-26,20:45,240,Manual Rule-Based,7,75.9,Cancelled
HIST-00047,BLK-00047,COR-097,2026-09-28,07:30,60,Manual Rule-Based,3,69.2,Partial Conflict
HIST-00048,BLK-00048,COR-077,2026-09-24,19:00,120,AI Optimization Engine,0,94.8,Executed Cleanly
HIST-00049,BLK-00049,COR-023,2026-09-29,23:30,300,AI Optimization Engine,0,92.2,Executed Cleanly
HIST-00050,BLK-00050,COR-010,2026-09-10,10:00,300,Manual Rule-Based,3,68.9,Partial Conflict
HIST-00051,BLK-00051,COR-080,2026-09-18,18:30,300,AI Optimization Engine,1,85.6,Partial Conflict
HIST-00052,BLK-00052,COR-040,2026-09-10,07:15,120,Manual Rule-Based,7,75.0,Cancelled
HIST-00053,BLK-00053,COR-031,2026-09-23,10:15,360,AI Optimization Engine,1,91.2,Partial Conflict
HIST-00054,BLK-00054,COR-081,2026-09-12,11:30,60,AI Optimization Engine,1,88.5,Partial Conflict
HIST-00055,BLK-00055,COR-060,2026-09-29,22:00,180,AI Optimization Engine,0,95.8,Executed Cleanly
HIST-00056,BLK-00056,COR-058,2026-09-17,19:45,240,Manual Rule-Based,8,65.1,Cancelled
HIST-00057,BLK-00057,COR-006,2026-09-11,11:00,300,AI Optimization Engine,0,96.3,Executed Cleanly
HIST-00058,BLK-00058,COR-087,2026-09-23,19:00,120,Manual Rule-Based,3,69.0,Partial Conflict
HIST-00059,BLK-00059,COR-045,2026-09-26,10:45,60,AI Optimization Engine,0,88.6,Executed Cleanly
HIST-00060,BLK-00060,COR-083,2026-09-25,11:00,180,AI Optimization Engine,1,93.0,Partial Conflict
HIST-00061,BLK-00061,COR-020,2026-09-09,05:00,120,Manual Rule-Based,7,62.5,Cancelled
HIST-00062,BLK-00062,COR-021,2026-09-21,06:30,240,AI Optimization Engine,1,93.9,Partial Conflict
HIST-00063,BLK-00063,COR-097,2026-09-15,09:30,120,AI Optimization Engine,1,96.5,Partial Conflict
HIST-00064,BLK-00064,COR-100,2026-09-22,15:00,120,AI Optimization Engine,1,87.4,Partial Conflict
HIST-00065,BLK-00065,COR-037,2026-09-28,17:00,60,Manual Rule-Based,8,72.2,Cancelled
HIST-00066,BLK-00066,COR-054,2026-09-28,10:00,180,Manual Rule-Based,6,75.7,Cancelled
HIST-00067,BLK-00067,COR-018,2026-09-22,20:45,360,AI Optimization Engine,1,92.7,Partial Conflict
HIST-00068,BLK-00068,COR-028,2026-09-20,03:15,360,Manual Rule-Based,5,75.5,Cancelled
HIST-00069,BLK-00069,COR-082,2026-09-27,03:45,180,Manual Rule-Based,7,66.9,Cancelled
HIST-00070,BLK-00070,COR-001,2026-09-24,10:30,120,Manual Rule-Based,4,62.4,Cancelled
HIST-00071,BLK-00071,COR-061,2026-09-29,21:00,180,Manual Rule-Based,6,68.4,Cancelled
HIST-00072,BLK-00072,COR-018,2026-09-10,19:30,300,AI Optimization Engine,1,96.1,Partial Conflict
HIST-00073,BLK-00073,COR-038,2026-09-14,21:30,60,AI Optimization Engine,0,92.2,Executed Cleanly
HIST-00074,BLK-00074,COR-046,2026-09-28,04:30,180,Manual Rule-Based,8,64.3,Cancelled
HIST-00075,BLK-00075,COR-024,2026-09-09,12:00,300,Manual Rule-Based,4,60.8,Cancelled
HIST-00076,BLK-00076,COR-014,2026-09-21,00:00,60,AI Optimization Engine,1,91.3,Partial Conflict
HIST-00077,BLK-00077,COR-094,2026-09-14,23:45,120,Manual Rule-Based,4,66.5,Cancelled
HIST-00078,BLK-00078,COR-019,2026-09-20,10:15,180,Manual Rule-Based,6,63.5,Cancelled
HIST-00079,BLK-00079,COR-087,2026-09-24,09:30,240,Manual Rule-Based,7,72.2,Cancelled
HIST-00080,BLK-00080,COR-015,2026-09-10,21:15,300,AI Optimization Engine,1,85.3,Partial Conflict
HIST-00081,BLK-00081,COR-089,2026-09-11,15:45,120,AI Optimization Engine,0,96.4,Executed Cleanly
HIST-00082,BLK-00082,COR-091,2026-09-25,11:30,60,Manual Rule-Based,6,65.4,Cancelled
HIST-00083,BLK-00083,COR-031,2026-09-26,07:45,240,Manual Rule-Based,8,60.8,Cancelled
HIST-00084,BLK-00084,COR-092,2026-09-20,00:30,120,AI Optimization Engine,0,86.3,Executed Cleanly
HIST-00085,BLK-00085,COR-100,2026-09-23,12:30,60,AI Optimization Engine,0,94.0,Executed Cleanly
HIST-00086,BLK-00086,COR-042,2026-09-19,19:00,120,Manual Rule-Based,6,74.9,Cancelled
HIST-00087,BLK-00087,COR-079,2026-09-20,07:30,120,Manual Rule-Based,3,65.6,Partial Conflict
HIST-00088,BLK-00088,COR-011,2026-09-15,05:30,240,Manual Rule-Based,4,67.8,Cancelled
HIST-00089,BLK-00089,COR-062,2026-09-17,14:15,180,Manual Rule-Based,7,75.7,Cancelled
HIST-00090,BLK-00090,COR-044,2026-09-13,21:00,300,Manual Rule-Based,8,61.5,Cancelled
HIST-00091,BLK-00091,COR-031,2026-09-16,13:15,120,Manual Rule-Based,8,72.5,Cancelled
HIST-00092,BLK-00092,COR-074,2026-09-19,18:45,120,Manual Rule-Based,7,74.2,Cancelled
HIST-00093,BLK-00093,COR-051,2026-09-11,00:30,300,Manual Rule-Based,5,63.9,Cancelled
HIST-00094,BLK-00094,COR-056,2026-09-10,12:15,120,Manual Rule-Based,4,70.2,Cancelled
HIST-00095,BLK-00095,COR-071,2026-09-09,02:00,120,Manual Rule-Based,4,75.0,Cancelled
HIST-00096,BLK-00096,COR-097,2026-09-13,01:45,120,Manual Rule-Based,4,64.2,Cancelled
HIST-00097,BLK-00097,COR-078,2026-09-27,05:30,120,Manual Rule-Based,4,75.6,Cancelled
HIST-00098,BLK-00098,COR-061,2026-09-26,08:30,360,Manual Rule-Based,6,72.3,Cancelled
HIST-00099,BLK-00099,COR-075,2026-09-09,03:30,300,Manual Rule-Based,3,74.9,Partial Conflict
HIST-00100,BLK-00100,COR-057,2026-09-28,12:45,300,Manual Rule-Based,5,60.9,Cancelled
HIST-00101,BLK-00101,COR-085,2026-09-15,04:30,120,Manual Rule-Based,8,70.0,Cancelled
HIST-00102,BLK-00102,COR-032,2026-09-11,22:45,360,Manual Rule-Based,3,64.0,Partial Conflict
HIST-00103,BLK-00103,COR-016,2026-09-12,05:15,240,Manual Rule-Based,6,73.2,Cancelled
HIST-00104,BLK-00104,COR-084,2026-09-24,23:30,120,Manual Rule-Based,6,72.5,Cancelled
HIST-00105,BLK-00105,COR-086,2026-09-09,12:30,180,AI Optimization Engine,0,85.2,Executed Cleanly
HIST-00106,BLK-00106,COR-084,2026-09-09,07:15,60,AI Optimization Engine,1,95.4,Partial Conflict
HIST-00107,BLK-00107,COR-023,2026-09-18,01:15,240,AI Optimization Engine,1,96.5,Partial Conflict
HIST-00108,BLK-00108,COR-043,2026-09-17,08:45,360,AI Optimization Engine,0,93.4,Executed Cleanly
HIST-00109,BLK-00109,COR-021,2026-09-11,02:45,240,Manual Rule-Based,4,74.3,Cancelled
HIST-00110,BLK-00110,COR-066,2026-09-29,17:15,300,AI Optimization Engine,1,93.7,Partial Conflict
HIST-00111,BLK-00111,COR-031,2026-09-28,06:15,300,Manual Rule-Based,3,63.1,Partial Conflict
HIST-00112,BLK-00112,COR-060,2026-09-26,05:15,360,Manual Rule-Based,6,64.0,Cancelled
HIST-00113,BLK-00113,COR-020,2026-09-26,06:45,120,Manual Rule-Based,4,68.0,Cancelled
HIST-00114,BLK-00114,COR-068,2026-09-14,18:15,120,AI Optimization Engine,0,88.3,Executed Cleanly
HIST-00115,BLK-00115,COR-015,2026-09-19,06:45,360,Manual Rule-Based,6,65.7,Cancelled
HIST-00116,BLK-00116,COR-073,2026-09-13,00:15,120,Manual Rule-Based,6,66.5,Cancelled
HIST-00117,BLK-00117,COR-055,2026-09-22,14:30,240,Manual Rule-Based,8,65.3,Cancelled
HIST-00118,BLK-00118,COR-048,2026-09-25,11:00,360,AI Optimization Engine,0,96.4,Executed Cleanly
HIST-00119,BLK-00119,COR-094,2026-09-19,12:45,60,AI Optimization Engine,1,88.5,Partial Conflict
HIST-00120,BLK-00120,COR-020,2026-09-26,01:30,180,AI Optimization Engine,0,88.7,Executed Cleanly
HIST-00121,BLK-00121,COR-013,2026-09-29,21:15,360,Manual Rule-Based,8,70.1,Cancelled
HIST-00122,BLK-00122,COR-065,2026-09-12,13:30,60,AI Optimization Engine,0,94.1,Executed Cleanly
HIST-00123,BLK-00123,COR-039,2026-09-19,20:30,300,AI Optimization Engine,0,90.3,Executed Cleanly
HIST-00124,BLK-00124,COR-090,2026-09-10,14:15,120,AI Optimization Engine,0,96.5,Executed Cleanly
HIST-00125,BLK-00125,COR-008,2026-09-16,22:15,240,Manual Rule-Based,7,69.8,Cancelled
HIST-00126,BLK-00126,COR-012,2026-09-25,04:00,120,Manual Rule-Based,7,71.4,Cancelled
HIST-00127,BLK-00127,COR-027,2026-09-26,21:30,60,Manual Rule-Based,6,69.8,Cancelled
HIST-00128,BLK-00128,COR-031,2026-09-20,12:30,300,Manual Rule-Based,5,61.0,Cancelled
