movement_id,train_no,from_station_sequence,corridor_id,from_station_code,to_station_code,arrival_time,next_arrival_time,movement_date,movement_type,conflict_buffer_min
MOV-00001,54321,6,COR-053,NDLS,BE,10:15,11:50,2026-09-20,Freight Heavy,29
MOV-00002,12301,6,COR-022,SC,KGP,18:00,18:50,2026-09-24,Passenger Express,21
MOV-00003,12951,6,COR-017,HWH,KZJ,08:45,08:35,2026-09-27,Suburban Local,24
MOV-00004,12951,8,COR-038,MAS,KZJ,16:45,16:05,2026-09-26,Passenger Express,3
MOV-00005,12626,5,COR-061,PRYJ,CNB,18:00,19:50,2026-09-22,Suburban Local,19
MOV-00006,58901,5,COR-021,PRYJ,KGP,15:00,15:50,2026-09-19,Passenger Express,35
MOV-00007,22436,4,COR-084,CSMT,KZJ,21:45,22:35,2026-09-19,Freight Heavy,31
MOV-00008,58901,6,COR-010,SC,KGP,01:45,01:05,2026-09-28,Suburban Local,5
MOV-00009,12951,2,COR-045,SBC,BE,04:00,05:50,2026-09-21,Special Freight,21
MOV-00010,22436,1,COR-061,CSMT,BE,06:30,06:50,2026-09-29,Passenger Express,5
MOV-00011,12951,3,COR-031,LKO,BZA,07:45,07:35,2026-09-25,Passenger Express,27
MOV-00012,12002,2,COR-033,CSMT,DDU,07:30,08:20,2026-09-17,Suburban Local,2
MOV-00013,54321,2,COR-095,LKO,KZJ,10:30,10:20,2026-09-23,Freight Heavy,11
MOV-00014,12951,5,COR-093,SC,PUNE,16:00,16:20,2026-09-21,Freight Heavy,14
MOV-00015,22436,1,COR-004,SC,PUNE,14:00,15:50,2026-09-21,Passenger Express,8
MOV-00016,12002,3,COR-098,PRYJ,KZJ,19:45,20:20,2026-09-22,Passenger Express,21
MOV-00017,12626,5,COR-001,NDLS,BE,12:00,13:20,2026-09-13,Passenger Express,18
MOV-00018,12626,7,COR-027,CSMT,KGP,08:45,08:20,2026-09-10,Freight Heavy,3
MOV-00019,58901,4,COR-029,SBC,BZA,19:30,20:05,2026-09-21,Special Freight,23
MOV-00020,54321,1,COR-048,CSMT,KZJ,08:00,09:50,2026-09-22,Passenger Express,17
MOV-00021,12626,8,COR-069,SBC,PUNE,08:15,09:35,2026-09-19,Passenger Express,13
MOV-00022,12301,3,COR-072,SBC,MYS,01:00,01:35,2026-09-27,Suburban Local,10
MOV-00023,58901,7,COR-056,SC,BZA,08:00,08:35,2026-09-15,Suburban Local,24
MOV-00024,12951,7,COR-026,SC,DDU,09:00,10:20,2026-09-09,Suburban Local,2
MOV-00025,12951,1,COR-086,SBC,BE,19:00,19:35,2026-09-21,Freight Heavy,22
MOV-00026,12301,3,COR-020,MAS,MYS,13:00,13:20,2026-09-20,Suburban Local,23
MOV-00027,12951,3,COR-042,NDLS,BZA,00:30,00:50,2026-09-19,Freight Heavy,30
MOV-00028,12951,8,COR-004,SC,PUNE,10:15,11:35,2026-09-21,Suburban Local,33
MOV-00029,12301,1,COR-026,SBC,DDU,08:00,08:50,2026-09-27,Freight Heavy,13
MOV-00030,12951,3,COR-066,MAS,PUNE,04:15,04:35,2026-09-21,Passenger Express,13
MOV-00031,12301,8,COR-087,LKO,CNB,08:00,08:20,2026-09-22,Special Freight,26
MOV-00032,58901,3,COR-062,HWH,KZJ,21:30,22:05,2026-09-13,Special Freight,4
MOV-00033,12301,8,COR-014,SC,DDU,13:15,13:50,2026-09-12,Passenger Express,24
