schedule_id,train_no,train_name,train_type,source_station_code,source_station_name,destination_station_code,destination_station_name,station_sequence,station_code,station_name,arrival_time,departure_time,distance_km,running_days,direction
SCH-00001,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,1,NDST1,Intermediate Stn 1 (NDLS),16:15,11:00,35.2,Sun,UP
SCH-00002,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,2,NDST2,Intermediate Stn 2 (NDLS),14:30,12:00,70.4,Daily,DN
SCH-00003,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,3,NDST3,Intermediate Stn 3 (NDLS),13:30,21:00,105.5,"Mon, Wed, Fri",UP
SCH-00004,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,4,NDST4,Intermediate Stn 4 (NDLS),17:15,14:00,140.7,"Mon, Wed, Fri",DN
SCH-00005,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,5,NDST5,Intermediate Stn 5 (NDLS),00:15,17:00,175.9,Sun,DN
SCH-00006,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,6,NDST6,Intermediate Stn 6 (NDLS),06:30,20:00,211.1,Sun,UP
SCH-00007,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,7,NDST7,Intermediate Stn 7 (NDLS),13:30,05:00,246.2,"Tue, Thu, Sat",UP
SCH-00008,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,8,NDST8,Intermediate Stn 8 (NDLS),19:00,09:45,281.4,"Mon, Wed, Fri",DN
SCH-00009,12301,Howrah Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,9,NDST9,Intermediate Stn 9 (NDLS),21:45,15:45,316.6,Daily,UP
SCH-00010,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,1,HWST1,Intermediate Stn 1 (HWH),07:00,19:30,36.7,"Mon, Wed, Fri",UP
